ID Number,Project Name,Year Reported,"Brief Habitat Description (sources of impacts, significant features, site uses, etc.)",Project Description,GPRA Habitat Type (more complex),Habitat Type (basic ESA categories)(existing databases),HMPU Habitat Type for Restoration,Restoration Technique (GPRA dropdown menu),GPRA Activity (slightly more complex),Basic Activity (Enhance/Rest),"Previously Reported (same location, different technique) (Yes/No dropdown menu)?",Acres,Linear Miles,Linear Feet,"Latitude (decimal degrees, minimum 3 decimals)","Longitude (decimal degrees, minimum 3 decimals)","Lead Partner/Implementor (please spell out everything, no acronyms)","Other Partners (please spell out everything, no acronyms)",Site Ownership,Total Project Cost (best guess),Donated Land at no cost (Yes/No dropdown menu),Primary Funding Source,Project Benefits (dropdown menu),Photo 1 (Before) Credit,Photo 1 (Before) Caption,Photo 2 (During) Credit,Photo 2 (During) Caption,Photo 3 (After) Credit,Photo 3 (After) Caption,Project Completion Date (month/year) (start date prior to 2020),TBEP Notes,Oyster?
E-107,MacDill Air Force Base,2007,,Project consists of planting of salt marsh plants to help control erosion and promote habitat along an intertidal shoreline of the Interbay Peninsula located in MacDill Air Force Base in Hillsborough County.,,Estuarine,,Erosion Control,,Enhancement,,0.75,, ,27.821,-82.473,Tampa Bay Watch,,,,,,,,,,,,,,,
E-108,Manatee Viewing Center,2007,Intertidal wetland shoreline in Apollo Beach,Project consists of planting salt marsh plants along an intertidal wetland at the Manatee Viewing Center in Hillsborough County to help control erosion along the shoreline in Apollo Beach.,,Estuarine,,Erosion Control,,Enhancement,,0.25,, ,27.938,-82.417,Tampa Bay Watch,Tampa Electric Company,,3000,,,,,,,,,,30-Sep-06,,
E-109,Palonis Park,2007,,This project consists of planting salt marsh plants to aid in erosion control along the intertidal shoreline at Palonis Park in Hillsborough County and to promote habitat for wildlife.,,Estuarine,,Erosion Control,,Enhancement,,0.5,, ,27.89237,-82.54014,Tampa Bay Watch,,,,,,,,,,,,,,,
E-110,Pepper Busters at Fort DeSoto Park,2007,,This project consisted of removal of exotic invasive vegetation from the mangrove fringe and palm hammock to promote habitat for wildlife in the Fort De Soto Park in Pinellas County.,,Mix (estuarine and upland),,Invasive Removal – Vegetation,,Enhancement,,15,, ,27.62,-82.723,Tampa Bay Watch,,,,,,,,,,,,,,,
E-111,Sand Tube Restoration of Propellar Scars in Lower Tampa Bay,2007,,This seagrass planting project in Hillsborough and Boca Ciega Bays aims to promote habitat for fish and shellfish using sediment sand tubes located in propeller scars.,,Estuarine,,Other,,Enhancement,,0.01,, ,27.677,-82.527,Tampa Bay Watch,,,,,,,,,,,,,,,
E-112,Weedon Island Burn - 2B,2007,,This project consisted of a prescribed burn of overgrown scrub northwest of the Weedon Island Education Center to promote wildlife habitat in Pinellas County.,,Upland,,Prescribed Burn,,Enhancement,,5,, ,27.847,-82.609,Pinellas County,,,,,,,,,,,,,,,
E-113,Weedon Island Burn - 2E,2007,,This project consisted of a prescribed burn of overgrown scrub northwest of the Weedon Island Education Center to promote wildlife habitat in Pinellas County.,,Upland,,Prescribed Burn,,Enhancement,,8,, ,27.841,-82.609,Pinellas County,,,,,,,,,,,,,,,
E-114,Whale Island NWR,2007,,This project consisted of planting of salt marsh plants along an intertidal wetland area to aid in erosion control Southwest of Tarpon Key in Boca Ciega Bay.,,Estuarine,,Erosion Control,,Enhancement,,0.25,, ,27.662,-82.693,Tampa Bay Watch,,,,,,,,,,,,,,,
LS-036,E.G. Simmons Park,2007, ,Project consists of planting of salt marsh plants at an intertidal shoreline area within E.G. Simmons Park in Hillsborough County to aid in erosion control and provide habitat for wildlife.,,Estuarine,,,,Enhancement,,,,1700,27.74192,-82.47928,Tampa Bay Watch, ,,0,, ,Erosion Control,,,,,,, ,,
LS-037,MacDill Oyster Bar Creation Project,2007, ,Project consists of creation of an oyster shell bar using natural oyster materials along the shoreline at MacDill Air Force Base in Hillsborough County.,,Estuarine,,,,Restoration,,,,246,27.8214,-82.47821,Tampa Bay Watch, ,,0,, ,Reef Construction – Natural Materials,,,,,,, ,,x
LS-038,Reed Property,2007,Intertidal wetland system along the Hillsborough River.,Living shoreline associated with larger wetland restoration effort,,Estuarine,,,,Restoration,,,,550,27.98589,-82.47081,SWFWMD,City of Tampa,,650000,, ,Rehabilitation/Creation,,,,,,,31-Oct-06,,
LS-039,Andrew's Island Oyster Bar Creation,2007, ,Project consists of creation of an oyster shell bar using natural oyster shell material along the shoreline of Andrew's Island to promote erosion control and provide habitat for fish and wildlife.,,Estuarine,,,,Restoration,,,,500,27.79323,-82.77859,Tampa Bay Watch, ,,0,, ,Reef Construction – Natural Materials,,,,,,, ,,x
LS-040,Bayshore Boulevard Seawall Oyster Dome Project Phase III,2007, ,Project consists of placement of oyster domes along the shoreline of Bayshore Boulevard in Hillsborough County to encourage oyster enhancement and provide habitat for wildlife.,,Estuarine,,,,Restoration,,,,300,27.89527,-82.48729,Tampa Bay Watch, ,,0,, ,Reef Construction – Artificial Materials,,,,,,, ,,x
LS-041,Fort De Soto Oyster Bar Creation Project,2007, ,Project consists of creating of an oyster shell bar using natural oyster materials along the shoreline of an estuary at Fort De Soto Park in Pinellas County to promote fish and wildlife habitat.,,Estuarine,,,,Restoration,,,,830,27.63362,-82.71931,Tampa Bay Watch, ,,0,, ,Reef Construction – Natural Materials,,,,,,, ,,x
LS-042,MacDill Air Force Base Oyster Dome: Phase 2,2007, ,"Reef Balls®, a.k.a. ""oyster domes"" placed along seawalls and shorelines",,Estuarine,,,,Restoration,,,,700,27.82028,-82.4751,Tampa Bay Watch, ,,0,, ,Creation of oyster habitat (oyster dome),,,,,,, ,,x
R-095,Reed Property,2007,Intertidal wetland system along the Hillsborough River.,"This project aims to restore an area of intertidal wetland habitat along the Hillsborough River to promote habitat for fish, shellfish and other wildlife.",,Estuarine,,Rehabilitation/Creation,,Restoration,,4.75,,,27.9855,-82.47076,SWFWMD,City of Tampa,,650000,,,,,,,,,,31-Oct-06,,
E-116,Alligator Lake Wetland Creation and Stormwater Treatment Project,2008,Freshwater marsh south of Alligator Lake,Project consists of planting and earth work along an area south of Alligator Lake in Pinellas County to provide habitat for wildlife and improve water quality.,,Freshwater,,Rehabilitation/Creation,,Enhancement,,6,, ,27.978,-82.703,City of Clearwater,,,650000,,,,,,,,,,30-Sep-08,,
E-117,Shell Key Exotic Removal,2008,,"Project consists of removing invasive exotic vegetation from a forested area on Shell Key, an island located in Pinellas County to promote wildlife habitat",,Estuarine,,Invasive Removal - Vegetation,,Enhancement,,4,, ,27.651,-82.739,Pinellas County Department of Environmental Management,,,,,,,,,,,,,,,
E-118,Terra Ceia Nature Preserve,2008,,Project consists of planting of salt marsh plants along an intertidal wetland area in the Terra Ceia Nature Preserve in Manatee County to aid in erosion control and provide habitat for fish and wildlife,,Estuarine,,Planting,,Enhancement,,32,, ,27.577,-82.58,Tampa Bay Watch,,,,,,,,,,,,,,,
E-119,Terra Ceia Nature Preserve,2008,,Project consists of planting of salt marsh plants along an intertidal wetland area in at the Terra Ceia Nature Preserve in Manatee County to aid in erosion control and provide habitat for fish and wildlife.,,Estuarine,,Planting,,Enhancement,,9,, ,27.577,-82.58,Tampa Bay Watch,,,,,,,,,,,,,,,
LS-043,Cypress Point Park Beach Restoration,2008,Beach shoreline at Cypress Point Park located in Hillsborough County,Beach stabilization achieved through re-contouring and softening slope of shoreline as erosion control,,Estuarine,,,,Restoration,,,,2640,27.94944,-82.54604,City of Tampa,Hillsborough County,,250000,, ,Erosion Control,,,,,,,31-Dec-07,,
LS-044,Weedon Island Oyster Bar Creation,2008, ,Project consists of creation of an oyster shell bar using natural oyster shell material contained in bags along the shoreline at Weedon Island Preserve to promote erosion control and provide habitat for fish and wildlife.,,Estuarine,,,,Restoration,,,,630,27.85539,-82.62082,Tampa Bay Watch, ,,0,, ,Reef Construction – Natural Materials,,,,,,, ,,x
LS-045,Cunningham Key Oyster Dome Project - Phase II,2008, ,This project consists of placement of oyster domes along the shoreline of Cummingham Key in Pinellas County to encourage oyster enhancement and provide habitat for wildlife.,,Estuarine,,,,Restoration,,,,100,27.65454,-82.71819,Tampa Bay Watch, ,,0,, ,Reef Construction – Artificial Materials,,,,,,, ,,x
LS-046,Madeira Beach Middle School Oyster Dome Project,2008, ,Project consists of placement of oyster domes along the shoreline at Madeira Beach Middle School in Pinellas County to encourage oyster enhancement and provide habitat for wildlife.,,Estuarine,,,,Restoration,,,,240,27.80859,-82.79016,Tampa Bay Watch and Madeira Beach Middle School, ,,0,, ,Reef Construction – Artificial Materials,,,,,,, ,,x
R-096,Terra Ceia Ecosystem Restoration,2008,,Restoration and enhancement including debris removal and removal of invasive vegetation and re-planting with native plant species.,,Estuarine,,Planting,,Restoration,,59.6,, ,27.57962,-82.60881,SWFWMD-SWIM,,,,,,,,,,,,,,,
E-120,Clam Bayou Marine Education Center Restoration Project II,2009,,"The Clam Bayou Marine Education Center restoration project consists of exotic plant removal, replanting with native plant species and installing educational signage and information.",,Estuarine,,Invasive Removal - Vegetation,,Enhancement,,,,170,27.736,-82.691,"University of South Florida, College of Marine Science",,,,,,,,,,,,,,,
E-121,Eagle Lake Park,2009,A freshwater wetland area within the 150 acre park in Pinellas County.,Project consists of removing non-native vegetation and replanting with native plants in an effort to improve habitat for wildlife.,,Freshwater,,Invasive Removal - Vegetation,,Enhancement,,5,,,27.927,-82.764,Pinellas County Parks and Conservation Resources,SWFWMD,,1522000,,,,,,,,,,31-Jul-09,,
E-122,East Lake Management Area,2009,The East Lake Management Area consists primarily of forested wetlands.,The East Lake project consists of removal of invasive non-native vegetation to return the area to a primarily forested wetland habitat type.,,Freshwater,,Invasive Removal - Vegetation,,Enhancement,,3.7,,,28.095,-82.701,Pinellas County Environmental Lands Division,,,10040,,,,,,,,,,31-Aug-09,,
E-123,Weedon Island Preserve,2009,,Removal of exotic non-native plants in addition to thinning of existing vegetation to improve habitat for wildlife and birds.,,Upland,,Prescribed Burn,,Enhancement,,14,,,27.851,-82.608,Pinellas County Environmental Lands Division,,,,,,,,,,,,,,,
LS-047,Ft. Brooke/Cotanchobee Park,2009,Riparian habitat along the shoreline of the Hillsborough River,Erosion Control,,Estuarine,,,,Restoration,,,,300,27.94132,-82.45144,City of Tampa Parks and Recreation Department,SWFWMD,,300000,, ,Erosion Control,,,,,,,30-Apr-09,,
R-097,Marsh Creek Phase 2,2009,,Phase 2 of Marsh Creek project includes removal of non-native plants and debris along creek shoreline.,,Estuarine,,Invasive Removal - Vegetation,,Restoration,,40.1,,,27.719,-82.432,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-098,Terra Ceia 'Airplane Forest' Upland Restoration,2009,,The ‘Airplane Forest’ restoration project consisted of removal of non-native plants followed by planting of native pine and palmetto.,,Estuarine,,Rehabilitation/Creation,,Restoration,,47.9,,,27.69377,-82.5061,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-099,Terra Ceia Wetlands I,2009,,The Terra Ceia project consisted of restoration and enhancement of various coastal habitats.,,"Mix (estuarine, freshwater, and upland)",,Rehabilitation/Creation,,Restoration,,134,,,27.6028,-82.5609,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-100,Wolf Branch Freshwater Wetlands,2009,,Freshwater wetland creation and planting,,Freshwater,,Freshwater wetland creation and planting,,Restoration,,5,,,27.73959,-82.44554,Ecosphere Restoration Institute,,,,,,,,,,,,,,,
E-124,E.G. Simmons Park: Phase 2,2010,,upland (coastal),,Upland,,Planting,,Enhancement,,1,,,27.7423,-82.4662,SWFWMD-SWIM,,,,,,,,,,,,,,,
E-125,Fort De Soto North Beach,2010,,Salt marsh (Spartina alterniflora) is utilized for shoreline stabilization and habitat enhancement at the project location.,,Estuarine,,Shoreline Stabilization/Enhancement,,Enhancement,,0.22,, ,27.64,-82.741,Tampa Bay Watch,,,,,,,,,,,,,,,
E-126,Give A Day for the Bay - Emerson Point Preserve,2010,,More than 150 slash pine trees were planted within the Preserve in an effort to improve habitat in areas recently removed of invasive vegetation.,,Upland,,Planting,,Enhancement,,12,, ,27.531,-82.626,Tampa Bay Estuary Program,,,,,,,,,,,,,,,
E-127,Give A Day for the Bay - Joe's Creek Management Area,2010,,Removal of Brazilian pepper trees and air potato vines in County-owned Management area.,,Upland,,Invasives Control/Removal - Vegetation,,Enhancement,,6.7,, ,27.83414,-82.74677,Tampa Bay Estuary Program,,,,,,,,,,,,,,,
E-128,Mac Dill Air Force Base,2010,Intertidal wetland habitat in Southern Hillsborough County.,Salt marsh (Spartina alterniflora) is utilized for shoreline stabilization and habitat enhancement at he project location.,,estuarine,,Shoreline Stabilization/Enhancement,,Enhancement,,0.5,,,27.83179,-82.47197,SWFWMD-SWIM,,,,,,,,,,,,,,,
E-129,Mac Dill Air Force Base,2010,Intertidal wetland habitat in Southern Hillsborough County.,Salt marsh (Spartina alterniflora) was installed for shoreline stabilization and habitat enhancement at the project location.,,Estuarine,,Shoreline Stabilization/Enhancement,,Enhancement,,0.5,, ,27.821,-82.473,Tampa Bay Watch,SWFWMD-SWIM,,,,,,,,,,,,,,
E-130,Mac Dill Phase III Seagrass Transplanting Project,2010,,Enhance and restore seagrass in areas of historical presence by transplanting seagrass (Syringodium filiforme) from a donor location in Tampa Bay.,,Estuarine,,Other,,Enhancement,,0.69,, ,27.82,-82.495,Tampa Bay Watch,,,,,,,,,,,,,,,
E-131,Terra Ceia Aquatic Preserve,2010,,Salt marsh (Spartina alterniflora) is utilized for shoreline stabilization and habitat enhancement at the project location.,,Estuarine,,Shoreline Stabilization/Enhancement,,Enhancement,,9.9,, ,27.535,-82.584,Tampa Bay Watch,,,,,,,,,,,,,,,
LS-048,Rivergarden Shoreline Restoration Project,2010,Riparian shoreline located on the Hillsborough River in Hillsborough County.,The shoreline was regraded to a more gentle slope for stabilization and erosion abatement. Rip rap was installed at the toe of slope in some areas to dissipate boat wake action. Native plantings were installed throughout.,,Estuarine,,,,Restoration,,,,900,27.96799,-82.47704,City of Tampa,Surface Water Improvement and Management of Southwest Florida Water Management District,,1000000,, ,Shoreline Stabilization/Enhancement,,,,,,,31-Jul-10,,
LS-049,Stewart Middle School Shoreline Restoration,2010,Riparian shoreline adjacent to the school which is located on the Hillsborough River in Hillsborough County.,The shoreline of the project was regarded to a more gentle 4:1/3:1 slope for stabilization. Rip rap was installed at the toe of slope to dissipate boat wake action. Geoweb walls were constructed at two locations for bank stabilization where regrading was,,Estuarine,,,,Restoration,,,,1700,27.96109,-82.47044,Ecosphere Restoration Institute,"SWFWMD - SWIM, ERI & HCSD",,250000,, ,Shoreline Stabilization/Enhancement,,,,,,,31-Mar-10,,
LS-050,Whiskey Stump Key Oyster Bar Creation Project,2010, ,"Fossilized oyster shell from local shell mines provides a hard surface for oyster larvae to settle upon and grow, eventually forming a natural reef. Mesh bags filled with fossilized shells will be used to create the oyster bar habitats.",,Estuarine,,,,Restoration,,,,730,27.81438,-82.40244,Tampa Bay Watch, ,,0,, ,Shoreline Stabilization/Enhancement,,,,,,, ,,x
LS-051,Green Key Oyster Bar Creation Project,2010, ,"Fossilized oyster shell from local shell mines provides a hard surface for oyster larvae to settle upon and grow, eventually forming a natural reef. Mesh bags filled with fossilized shells will be used to create the oyster bar habitats.",,Estuarine,,,,Restoration,,,,790,27.81836,-82.39965,Tampa Bay Watch, ,,0,, ,Shoreline Stabilization/Enhancement,,,,,,, ,,x
LS-052,Oyster Reef Shoreline Stabilization Phase IV,2010, ,The project installed concrete oyster domes (reef balls) within the tidal flat zone approximately 50 feet seaward of the high tide line. Domes were placed base to base to create a solid substrate roughly 10 feet wide on which oysters could establish. The,,Estuarine,,,,Restoration,,,,1890,27.82111,-82.4745,MacDill Air Force Base, ,,0,, ,Shoreline Stabilization/Enhancement,,,,,,, ,,x
R-101,Cockroach Bay Aquatic Preserve Salt Barren Restoration,2010,,"Habitat types in this project include high marsh, mangroves, ditched uplands and exotic vegetation. Hydroblasting, exotic vegetation removal and regrading berms were used to achieve project goals.",,Estuarine,,Invasives Control/Removal - Vegetation,,Restoration,,26,, ,27.684,-82.513,Ecosphere Restoration Institute,,,,,,,,,,,,,,,
R-102,Ekker Restoration Project,2010,,Historical pine flatwoods and freshwater wetlands have been converted to aquaculture (tropical fish farm); re-worked site to a freshwater wetland with fringing uplands. Project also contains establishment of 5 acres of coastal uplands.,,Mix (freshwater and upland),,Invasives Control/Removal - Vegetation,,Restoration,,19,, ,27.84163,-82.36784,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-103,Hooker's Point Outfall,2010,,Wetland creation approximately 1 ac and 6 ac of stormwater retrofit polishing,,Estuarine,,,,Restoration,,1,,,27.90813,-82.43679,Ecosphere Restoration Institute,,,,,,,,,,,,,,,
R-104,Lost River Preserve/Cockroach Bay Wetland Creation Project,2010,,"Invasive plant removal, estuarine and freshwater wetland creation, upland and wetland planting, storm water retrofit and attenuation. Project also includes establishment of 6.5 acres of estuarine marsh, 9 acres of coastal uplands and 21 acres of mangrove",,"Mix (estuarine, freshwater, and upland)",,Invasives Control/Removal - Vegetation,,Restoration,,43,, ,27.707,-82.487,Ecosphere Restoration Institute,,,,,,,,,,,,,,,
R-105,Site 9 Mangrove Restoration,2010,,"The project dug up the mosquito ditch mounds, removing all of the vegetation including invasive species along a 1,200 foot length of historic mosquito ditch. A zone approximately 50 feet wide on both sides of the ditch was dug up to remove the mounds and",,Estuarine,,"Ditch Removal, Filling, or Plugging",,Restoration,,2,, ,27.842,-82.507,MacDill Air Force Base,,,,,,,,,,,,,,,
R-106,Wolf Branch Creek Nature Preserve Ephemeral Pond Creation,2010,,"Re-sculptured existing coastal uplands previously filled and degraded with overburden from adjacent, on-site restoration. Project also includes enhancement of 1.5 acres of coastal uplands.",,Upland,,Other,,Restoration,,3.5,, ,27.739,-82.444,Ecosphere Restoration Institute,,,,,,,,,,,,,,,
E-132,Bi-Annual Bear Creek Clean-Up,2011,,Volunteers participated in bi-annual debris removal events at the creek each year. More than three tons of debris is removed annually from the creek.,,Freshwater,,Debris Removal,,Enhancement,,,,5280,27.769,-82.714,Tampa Bay Estuary Program,,,,,,,,,,,,,,,
E-133,Brooker Creek Preserve - Pine Ridge Area Invasive Plant Management,2011,Flatwoods and hammock being invaded by non-native invasive vegetation.,"Herbicide treatment of nuisance exotic vegetation; Air potato, Brazilian pepper, camphor.",,Upland,,Invasives Control/Removal - Vegetation,,Enhancement,,5.5,, ,28.1361,-82.6573,Pinellas County Parks and Conservation Resources,,,11621,,,,,,,,,,31-Jul-11,,
E-134,Brooker Creek Preserve - South Invasive Plant Management,2011,Forested upland edges along dirt access road in south end of Brooker Creek Preserve.,"Herbicide treatment of nuisance exotic vegetation; Brazilian pepper, cogongrass, guinea grass, Japanese climbing fern, torpedo grass, wedelia.",,Upland,,Invasives Control/Removal - Vegetation,,Enhancement,,14,, ,28.1361,-82.6573,Pinellas County Parks and Conservation Resources,,,16211,,,,,,,,,,31-Jul-11,,
E-135,Brooker Creek Preserve Prescribed Burn (Unit North Diagonal West),2011,Forested flatwoods and hammock in the north Coventry subdivision area.,Prescribed burn used to control competing vegetation and maintenance of fire-dependent species.,,Upland,,Prescribed Burn,,Enhancement,,5,, ,28.122,-82.681,Pinellas County Parks and Conservation Resources,,,4650,,,,,,,,,,31-Mar-11,,
E-136,Brooker Creek Preserve Prescribed Burn (Unit-Diagonal Ponds East),2011,This area of habitat consists of flatwoods east of two ponds off the diagonal powerline.,Prescribed burn used to control competing vegetation and maintenance of fire dependent species.,,Upland,,Prescribed Burn,,Enhancement,,21,, ,28.12,-82.673,Pinellas County Parks and Conservation Resources,,,3150,,,,,,,,,,30-Sep-10,,
E-137,Brooker Creek Preserve Prescribed Burn (Unit-Glenridge),2011,Flatwoods near the Glenridge subdivision.,Prescribed burn and firebreak disking used to control competing vegetation and maintenance of fire-dependent species.,,Upland,,Prescribed Burn,,Enhancement,,8,, ,28.101,-82.672,Pinellas County Parks and Conservation Resources,,,2321,,,,,,,,,,31-Mar-11,,
E-138,Cabbage Key Exotic Vegetation Removal,2011,,Removal of non-native vegetation such as Brazilian pepper that was impeding native plant growth.,,Mix (estuarine and upland),,Invasives Control/Removal - Vegetation,,Enhancement,,4.5,, ,27.667,-82.725,Pinellas County Parks and Conservation Resources,,,,,,,,,,,,,,,
E-139,Clam Bayou Native Planting,2011,,"Removed various invasive plants and replanted with native shrubs and trees. Slash pines, Sabal palms and small shrubs were planted in area cleared from invasive plants.",,Upland,,Invasives Control/Removal - Vegetation,,Enhancement,,0.25,, ,27.741,-82.687,Tampa Bay Estuary Program,,,,,,,,,,,,,,,
E-140,Cow Branch Invasive Plant Management,2011,Hammock area on eastern edge of the management area.,"Herbicide treatment of nuisance exotic vegetation; air potato, caesar weed, taro, guinea grass, cogon grass.",,Upland,,Invasives Control/Removal - Vegetation,,Enhancement,,1.4,, ,28.072,-82.713,Pinellas County Parks and Conservation Resources,,,2492,,,,,,,,,,30-Jun-11,,
E-141,East Lake Management Area Invasive Plant Management,2011,Hammock area containing non-native vegetation on the edge of the property and internal berm.,"Herbicide treatment of nuisance exotic vegetation; air potato, caesarweed taro, guinea grass, Brazilian pepper, banana, wedelia, arrowhead vine, castorbean, elephant ear.",,Mix (freshwater and upland),,Invasives Control/Removal - Vegetation,,Enhancement,,3.7,, ,28.096,-82.7,Pinellas County Parks and Conservation Resources,,,5881,,,,,,,,,,30-Jun-11,,
E-142,Fort DeSoto Park Prescribed Burn,2011,,A prescribed burn was performed in the overgrown coastal uplands area to fuel reduction of the uplands.,,Upland,,Prescribed Burn,,Enhancement,,29,, ,27.625,-82.706,Pinellas County Parks and Conservation Resources,,,,,,,,,,,,,,,
E-143,Give A Day for the Bay - Al Palonis Park,2011,,Removal of invasive Brazilian pepper trees in County-owned park. Brazilian pepper trees identified with flags were cut down. Tree limbs were hauled and placed into large pile for disposal. Cut tree stumps were treated with herbicide.,,Estuarine,,Invasives Control/Removal - Vegetation,,Enhancement,,2.5,,,27.893,-82.533,Tampa Bay Estuary Program,,,,,,,,,,,,,,,
E-144,Give A Day for the Bay - Emerson Point Preserve,2011,,"Planting of native sea oats and coral bean plants. Removal of invasive Brazilian pepper, Carrotwood, Rosary pea, air potato and Caesar weed.",,Upland,,Invasives Control/Removal - Vegetation,,Enhancement,,8.2,,,27.53247,-82.62952,Tampa Bay Estuary Program,,,,,,,,,,,,,,,
E-145,Give A Day for the Bay - Fort DeSoto Park,2011,,"Planting of more than 3,000 native plants within the Park. Plants included beach sunflower, railroad vine and sea oats.",,Upland,,Planting,,Enhancement,,2,,,27.635,-82.74,Tampa Bay Estuary Program,,,,,,,,,,,,,,,
E-146,Give A Day for the Bay - Lost River/Cockroach Bay,2011,,"Volunteers planted more than 1,000 native marsh grass plants in an area recently cleared of invasive plants.",,Freshwater,,Planting,,Enhancement,,2,,,27.686,-82.506,Tampa Bay Estuary Program,,,,,,,,,,,,,,,
E-147,Give A Day for the Bay - Moccasin Lake Nature Park,2011,"Moccasin Lake Nature Preserve is a 51-acre nature preserve in the City of Clearwater, FL. The preserve features a 5-acre lake and more than a miles of natural and board walking trails.",Removal of air potato vines and tubers within the Moccasin Lake preserve area. The vines were thick on the ground and strangling the native trees.,,Upland,,Invasives Control/Removal - Vegetation,,Enhancement,,1.45,,,27.976,-82.724,Tampa Bay Estuary Program,City of Clearwater,,188,,,,,,,,,,30-Nov-10,,
E-148,Give A Day for the Bay - Picnic Island Park,2011,,Removal of Brazilian pepper trees in City owned park adjacent to beach access to Tampa Bay.,,Upland,,Invasives Control/Removal - Vegetation,,Enhancement,,3,,,27.855,-82.55,Tampa Bay Estuary Program,,,,,,,,,,,,,,,
E-149,Lake Tarpon Management Area Invasive Plant Management,2011,Forested wetland on northern edge of property including non-native vegetation.,"Herbicide treatment of nuisance exotic vegetation; air potato, balsam apple, taro, Chinese tallow, hairy indigo, wedelia, sword fern, Guinea grass.",,Upland,,Invasives Control/Removal - Vegetation,,Enhancement,,7,, ,28.136,-82.71,Pinellas County Parks and Conservation Resources,,,6224,,,,,,,,,,30-Jun-11,,
E-150,MacDill Invasive Species Control,2011,,"Chemical treatment of all invasive species within the project area. Invasive trees and grasses were treated through a mixture of foliar application and girdling to kill the plants in place. Following the initial herbicide applications, contractors were r",,Estuarine,,Invasives Control/Removal - Vegetation,,Enhancement,,860,, ,27.836,-82.518,MacDill Air Force Base,,,,,,,,,,,,,,,
E-151,MacDill Upland Forest Habitat Management,2011,,Prescribed Burning: This burn block consists of shrub and brushland with hardwood overstory. Brazilian pepper and lead tree have inundated the area and evidence of chemical treatment is evident by the large amount of dead grasses and small trees. Some sc,,Upland,,Prescribed Burn,,Enhancement,,16,, ,27.833,-82.489,MacDill Air Force Base,,,,,,,,,,,,,,,
E-152,Restoration at Little Manatee River State Park,2011,,"Planting of 4,000 native trees by volunteer park visitors after completion of prescribed burn.",,Estuarine,,Planting,,Enhancement,,71,, ,27.673,-82.375,Tampa Bay Estuary Program,,,,,,,,,,,,,,,
E-153,Restoration of the Forest Conservation Area,2011,"This project took place in a wetland conservation area which was overrun with Brazilian pepper trees, located within a neighborhood.",Removal of Brazilian pepper trees and replanting with native plants after site cleaning had been completed.,,Estuarine,,Invasives Control/Removal - Vegetation,,Enhancement,,2.4,, ,28.024,-82.617,Tampa Bay Estuary Program,The Forest of Countryway Homeowners Association,,3400,,,,,,,,,,30-Sep-10,,
E-154,Tarpon Key NWR Tidal Wetland Restoration,2011,,The Tarpon Key National Wildlife Refuge is part of the Pinellas National Wildlife Refuge system and is managed by US Fish and Wildlife Service. Tampa Bay Watch will coordinate with USFWS to host Bay Grasses in Classes plantings. These planting projects a,,Estuarine,,Shoreline Stabilization/Enhancement,,Enhancement,,1,, ,27.666,-82.694,Tampa Bay Watch,,,,,,,,,,,,,,,
E-155,Terra Ceia Aquatic Preserve Tidal Wetland Restoration,2011,,The Terra Ceia Aquatic Preserve is managed by Southwest Florida Water Management District-Surface Water and Improvement Program(SWFWMD-SWIM). Tampa Bay Watch will coordinate with SWFWMD-SWIM to host community and Bay Grasses in Classes plantings. These p,,Estuarine,,Shoreline Stabilization/Enhancement,,Enhancement,,2,, ,27.584,-82.579,Tampa Bay Watch,,,,,,,,,,,,,,,
E-156,"Terra Ceia Uplands, Phase 6",2011,,Non-native plant removal followed by installation of native plant species; predominantly restoration of coastal pine flatwoods with hardwood hammocks.,,Upland,,Planting,,Enhancement,,158,, ,27.589,-82.571,SWFWMD-SWIM,,,,,,,,,,,,,,,
E-157,Watershed Improvement Partnership between Shorecrest Preparatory School and Placido Bayou Community Association,2011,,High school-aged students in partnership with the homeowners association used several of the ponds as study areas. Students took water quality samples and recorded data back at their school to track trends. Students also participated in several planting,,Freshwater,,Planting,,Enhancement,,4.8,,,27.817,-82.626,Tampa Bay Estuary Program,,,,,,,,,,,,,,,
E-158,Weedon Island Preserve Prescribed Burn,2011,,A prescribed burn was done in the flatwoods and oak hammock areas as fuel reduction in the flatwoods.,,Upland,,Prescribed Burn,,Enhancement,,4,, ,27.849,-82.605,Pinellas County Parks and Conservation Resources,,,,,,,,,,,,,,,
LS-053,Whale Island Oyster Bar Creation Project,2011, ,"This project is a community-based oyster reef creation project, to install recycled oyster shell along the northern shoreline of Whale Island",,Estuarine,,,,Restoration,,,,860,27.66258,-82.69391,Tampa Bay Watch, ,,0,, ,Reef Construction - Natural Materials,,,,,,, ,,x
LS-054,Green Key Oyster Bar Creation Project,2011, ,"This project is a community-based oyster reef creation project, to install fossilized oyster shell along the western shoreline of Green Key.",,Estuarine,,,,Restoration,,,,790,27.81899,-82.39946,Tampa Bay Watch, ,,0,, ,Reef Construction - Natural Materials,,,,,,, ,,x
