View Detail,View Photos,Map,Federal Fiscal Year,Region,State Code,NEP Name,Project Name,Project Description,Habitat Description,Habitat Type,Acres,Miles,Feet,Restoration Technique,Donated Land,Data Unavailable,EPA Section 320,Total Project Cost,Project Benefits,Activity Name,Lead Implementer,Partners,Latitude,Longitude,Main Funding Source,Site Owner,Last Updated Date,NEP Comments,HQ Comments,HQ Status,Region Status,Total Cost,Author,Submitter Email,HMPU habitat 1,HMPU habitat 2,Count
21101,21101,"<a href=""http://google.com/maps/place/27.664+-82.505/@27.664,-82.50515z  target=""_blank"">Google Map</a>",2021,Region 4,FL,Tampa Bay Estuary Program,TECO/Rock Ponds FY21 Habitat Maintenance,"Tampa Electric Co. (TECO)/Rock Ponds FY21 Habitat Maintenance.  Tampa Electric Co. is the leading energy company in Tampa, FL.  Control of invasive plants including Cogon Grass, prescribed burning, and hog control were conducted on the property to improve the habitat. Exotic plant control was conducted using one or more of the following as appropriate for existing conditions: Glyphosate (Roundup Custom, Roundup Pro Max, Alligare Glyphosate 5.4), Imazapyr (Ecomazapyr 2SL), Aminocylopyrachlor (Method 240SL), Triclopyr Ester (Element 4), Aminopyralid (Milestone).","Property is made up of various wetland communities such as freshwater creeks, marshes, tidal ponds and estuarine marshes. Adjacent to Cockroach Bay.  Restoration efforts have occurred on previous pasture lands.",Forest/Woodland,983.0,,,Invasives Control/Removal - Vegetation,,,0,198899,Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Restoration,Southwest Florida Water Management District,,27.6640,-82.5050,Southwest Florida Water Management District,Southwest Florida Water Management District,27-SEP-21 03.01.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Uplands (Non-coastal),,134
21100,21100,"<a href=""http://google.com/maps/place/27.811+-82.166/@27.811,-82.16615z  target=""_blank"">Google Map</a>",2021,Region 4,FL,Tampa Bay Estuary Program,Chito FY21 Habitat Maintenance,"Chito FY21 Habitat Maintenance.  Chito surrounds the C.W. Bill Young Regional Reservoir.  The property consists of wetlands, pine and scrubby flatwoods, scrub, freshwater marsh, and pasture. Control of invasive plants including Cogon Grass, prescribed burning, and hog control were conducted on the property to improve the habitat. Exotic plant control was conducted using one or more of the following as appropriate for existing conditions: Glyphosate (Roundup Custom, Roundup Pro Max, Alligare Glyphosate 5.4), Imazapyr (Ecomazapyr 2SL), Aminocylopyrachlor (Method 240SL), Triclopyr Ester (Element 4), Aminopyralid (Milestone).","Chito surrounds the C.W. Bill Young Regional Reservoir.  The property consists of wetlands, pine and scrubby flatwoods, scrub, freshwater marsh, and pasture.",Forest/Woodland,808.0,,,Invasives Control/Removal - Vegetation,,,0,21611,Protect or preserve open space:Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Restoration,Southwest Florida Water Management District,,27.8110,-82.1660,Southwest Florida Water Management District,Southwest Florida Water Management District,27-SEP-21 03.04.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Uplands (Non-coastal),,134
21090,21090,"<a href=""http://google.com/maps/place/27.8141+-82.4018/@27.8141,-82.401815z  target=""_blank"">Google Map</a>",2021,Region 4,FL,Tampa Bay Estuary Program,Whiskey Stump Key Oyster Reef Creation Project,"Whiskey Stump Key Oyster Reef Creation Project. The Whiskey Stump Key project is a community-based shoreline restoration project to help stabilize the shoreline of Whiskey Stump Key and expand oyster communities in Hillsborough Bay. The project will install 65 tons of shell bags and 765 concrete oyster domes, creating approximately 7,400 ft² of new oyster habitat at Whiskey Stump Key.",Mangrove island of historical significance (Home to first Tampa Bay Audubon Warden).  Subjected to high energy wave action and subsequent erosion.,Mangrove,0.2,,,Shoreline Stabilization/Enhancement,,,0,125000,Erosion control:Protect/improve/provide habitat for fish/shellfish,Restoration,Tampa Bay Watch,,27.8141,-82.4018,Tampa Bay Environmental Restoration Fund,Audubon of Florida,27-SEP-21 03.06.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Mangrove Forests,Living Shorelines,2
21124,21124,"<a href=""http://google.com/maps/place/28.15265+-82.60406/@28.15265,-82.6040615z  target=""_blank"">Google Map</a>",2021,Region 4,FL,Tampa Bay Estuary Program,Lake Francis Nature Preserve,"Lake Francis Nature Preserve.  Forest/Woodland: An area of land covered by trees and understory vegetation, sometimes mixed with pasture.  Improved pine flatwoods habitat and fuel removed to facilitate controllable, prescribed burning in urbanized area.","Forest/Woodland: An area of land covered by trees and understory vegetation, sometimes mixed with pasture.",Forest/Woodland,1.0,,,Other,,,0,4825,Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Maintenance,Hillsborough County,,28.1527,-82.6041,Hillsborough Board of County Commissioners,Hillsborough County,28-SEP-21 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Uplands (Non-coastal),,18
21091,21091,"<a href=""http://google.com/maps/place/28.261+-82.441/@28.261,-82.44115z  target=""_blank"">Google Map</a>",2021,Region 4,FL,Tampa Bay Estuary Program,Cypress Creek Land Donation,"Cypress Creek Land Donation.  Cypress Creek threads its way through cypress and hardwood forest.  Property includes high ridges and flatwoods. Approximately 1,000 acres of pasture land within the Cypress Creek watershed was donated to the Southwest Florida Water Management District.",Cypress Creek is a tributary of the Hillsborough River.  Cypress Creek threads its way through cypress and hardwood forest.  Property includes high ridges and flatwoods.,Agriculture/Ranch Land,967.0,,,Land Acquisition,Y,,0,,Protect or preserve open space:Protect/improve/provide habitat for other wildlife,Protection,Southwest Florida Water Management District,,28.2610,-82.4410,Mertz Foundation (donated land),Southwest Florida Water Management District,27-SEP-21 03.10.00.000000000 PM -04:00,(8/10/2021 12:10:58 pm),,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Uplands (Non-coastal),,1
21343,21343,"<a href=""http://google.com/maps/place/28.08084+-82.08054/@28.08084,-82.0805415z  target=""_blank"">Google Map</a>",2021,Region 4,FL,Tampa Bay Estuary Program,Lower Green Swamp Preserve Hydrologic Restoration,"Lower Green Swamp Preserve Hydrologic Restoration.  Forested (cypress) and non-forested (bottom lands; wet prairie; freshwater marsh) wetlands in the Hillsborough River basin. 
Implemented BMPs, including ditch blocks, wet crossings, and overflow sill(s) to restore hydrology.",Forested (cypress) and non-forested (bottom lands; wet prairie; freshwater marsh) wetlands in the Hillsborough River basin.,Forested Wetland,296.8,,,"Ditch Removal, Filling, or Plugging",,,72140,749441,Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife:Restore natural hydrology,Restoration,Hillsborough County,,28.0808,-82.0805,Tampa Bay Environmental Restoration Fund,Hillsborough County,27-SEP-21 03.12.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Forested Freshwater Wetlands,,1
21321,21321,"<a href=""http://google.com/maps/place/27.828+-82.484/@27.828,-82.48415z  target=""_blank"">Google Map</a>",2021,Region 4,FL,Tampa Bay Estuary Program,MacDill AFB Invasive Species Treatment,"MacDill AFB Invasive Species Treatment.  Previously disturbed areas, much of which was planted with slash pine for noise abatement but has been inundated with invasive plants, primarily Brazilian pepper. Vertical height reduction of Brazilian pepper in multiple locations throughout MacDill AFB. This will allow for a more targeted approach to maintenance of Brazilian pepper regrowth. Herbicide treatment, including Garlon 3a and Garlon 4 (triclopyr), Rodeo (glyphosate), and Polaris (Imazapyr) of invasive trees (Brazilian pepper, lead tree, melaleuca, and chinese tallow) and cogon grass to kill vegetation in place.","Previously disturbed areas, much of which was planted with slash pine for noise abatement but has been inundated with invasive plants, primarily Brazilian pepper.",Forest/Woodland,1545.0,,,Invasives Control/Removal - Vegetation,,,0,341000,Protect/improve/provide habitat for other wildlife,Restoration,United States Air Force,,27.8280,-82.4840,United States Air Force,United States Air Force,27-SEP-21 03.14.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Uplands (Non-coastal),,134
21161,21161,"<a href=""http://google.com/maps/place/27.74931+-82.64022/@27.74931,-82.6402215z  target=""_blank"">Google Map</a>",2021,Region 4,FL,Tampa Bay Estuary Program,Give-A-Day at Salt Creek,Give-A-Day at Salt Creek local park with mostly manicured lawn along a tidal creek with a mangrove fringe.  This event was a celebration to mark the start of restoration efforts at Salt Creek. Around 50 volunteers from around the area participated in the planting of 144 long leaf pine saplings and wiregrass.,local park with mostly manicured lawn along a tidal creek with a mangrove fringe,Field/Meadow,,,600.0,Planting,,,535,535,Climate Change Adaptation:Erosion control:Improve/Increase educational or recreational opportunities:Protect/improve/provide habitat for birds:Protect/improve/provide habitat for fish/shellfish:Protect/improve/provide habitat for other wildlife,Restoration,Tampa Bay Estuary Program,,27.7493,-82.6402,EPA Section 320,City of St. Petersburg,27-SEP-21 03.16.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Uplands (Non-coastal),,9
21158,21158,"<a href=""http://google.com/maps/place/27.69233+-82.50412/@27.69233,-82.5041215z  target=""_blank"">Google Map</a>",2021,Region 4,FL,Tampa Bay Estuary Program,Give-A-Day at Cockroach Bay,"Give-A-Day at Cockroach Bay. Restored oyster mound now covered with grasses, wildflowers, and cycads. Thirty (30) volunteers planted 12000 Muhly Grass, mimosa, and coontie as part of the ongoing restoration efforts on Mount Cockroach at Cockroach Bay Nature Preserve.","restored oyster mound now covered with grasses, wildflowers, and cycads",Field/Meadow,,,1500.0,Planting,,,280,280,Erosion control:Improve or protect water quality:Improve/Increase educational or recreational opportunities:Protect or preserve open space:Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Restoration,Tampa Bay Estuary Program,,27.6923,-82.5041,EPA Work Plan funds,Hillsborough County,27-SEP-21 03.18.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Uplands (Non-coastal),,9
21155,21155,"<a href=""http://google.com/maps/place/27.81078+-82.7861/@27.81078,-82.786115z  target=""_blank"">Google Map</a>",2021,Region 4,FL,Tampa Bay Estuary Program,Wood you Give-A-Day for the Bay?,"Wood you Give-A-Day for the Bay?  Recently restored mangrove wetland, adjacent coastal hammock, salt flat, and oyster reef.  Tropical Storm Eta brought a 4 ft. storm surged which washed debris and lumber on the STEM Center property. Much of the lumber was still in good condition. Project invited crafters, artists, and gardens alike to come out and take as much lumber from the property as they needed. Overall, the volunteers removed 1800 lbs. of wood which was all taken back home with the volunteers to repurpose. An additional 1200 lbs. of trash was also removed from the site.","Recently restored mangrove wetland, adjacent coastal hammock, salt flat, and oyster reef",Forested Wetland,,,2500.0,Debris Removal,,,517,517,Improve or protect water quality:Protect/improve/provide habitat for birds:Protect/improve/provide habitat for fish/shellfish:Protect/improve/provide habitat for other wildlife,Restoration,Tampa Bay Estuary Program,,27.8108,-82.7861,EPA Funds,St. Petersburg College,27-SEP-21 03.22.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Forested Freshwater Wetlands,,3
21151,21151,"<a href=""http://google.com/maps/place/27.89401+-82.63862/@27.89401,-82.6386215z  target=""_blank"">Google Map</a>",2021,Region 4,FL,Tampa Bay Estuary Program,Give-A-Day for the Bay at 4th Street Fishing Pier,"Give-A-Day for the Bay at 4th Street Fishing Pier.  Mangrove fringing causeway, significant recreational use by paddlers who launch between the mangrove forests.  Eighteen (18) adults and six (6) youths removed trash and debris washed in from the storm surge of Tropical Storm Eta at the St. Pete Fishing Pier.","Mangrove fringing causeway, significant recreational use by paddlers who launch between the mangrove forests.",Mangrove,,,1000.0,Debris Removal,,,242,242,Improve or protect water quality:Improve/Increase educational or recreational opportunities:Protect or preserve open space:Protect/improve/provide habitat for birds:Protect/improve/provide habitat for fish/shellfish:Protect/improve/provide habitat for other wildlife,Restoration,Tampa Bay Estuary Program,,27.8940,-82.6386,EPA Section 320,Florida Department of Transportation,27-SEP-21 03.25.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Mangrove Forests,,2
21325,21325,"<a href=""http://google.com/maps/place/27.52532+-82.41948/@27.52532,-82.4194815z  target=""_blank"">Google Map</a>",2021,Region 4,FL,Tampa Bay Estuary Program,Hidden Harbor Restoration Out plantings,"Hidden Harbor Restoration Out plantings. ""Hidden Harbor is a 135-acre park located along the Manatee River in the eastern portion of Lower Tampa Bay.  Various coastal hammock and pine-flatwoods species were installed under multiple contracts, including slash pine, red bay, live oak, persimmon, and saw palmetto.","""Hidden Harbor is a 135-acre park located along the Manatee River in the eastern portion of Lower Tampa Bay.  Hidden Harbor was acquired by Manatee County in 2004 and subsequently awarded a grant from the Florida Communities Trust under the Florida Forever Program. The site exhibits vegetative community and zonation appropriate with a non-disturbed riverine emergent wetland system, including zones of leatherfern, black needlerush, narrow transitional wetland, and coastal uplands.",Forest/Woodland,30.0,,,Planting,,,0,58218,Protect/improve/provide habitat for other wildlife,Restoration,Southwest Florida Water Management District,,27.5253,-82.4195,Southwest Florida Water Management District,Manatee County,27-SEP-21 03.30.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Uplands (Non-coastal),,25
21324,21324,"<a href=""http://google.com/maps/place/27.51032+-82.6635/@27.51032,-82.663515z  target=""_blank"">Google Map</a>",2021,Region 4,FL,Tampa Bay Estuary Program,Robinson Preserve Expansion - Buffer Plantings,"Vegetation buffer, where various coastal hammock and pine-flatwoods species, including sea grape, live oak, and southern red cedar, were installed to create/preserve open space and provide habitat for other wildlife.","Robinson Preserve in Manatee County, includes 679 acres of coastal grasslands, saltern, marsh, and mangrove habitat. These systems support a variety of rare wildlife, presenting careful observers with an opportunity to see roseate spoonbills, wood storks, white pelicans, bald eagles, and least terns in their natural environment. The restoration work at Robinson Preserve represents an incredible partnership between numerous local, state, and national agencies.",Forest/Woodland,1.5,,,Vegetation Buffer,,,0,80000,Protect or preserve open space:Protect/improve/provide habitat for other wildlife,Restoration,Manatee County,,27.5103,-82.6635,Manatee County,Manatee County,27-SEP-21 02.08.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Uplands (Non-coastal),,1
21322,21322,"<a href=""http://google.com/maps/place/27.83182+-82.48384/@27.83182,-82.4838415z  target=""_blank"">Google Map</a>",2021,Region 4,FL,Tampa Bay Estuary Program,MacDill AFB Aquatic Invasive Species Treatment,"MacDill AFB Aquatic Invasive Species Treatment. Human altered Surface Water Improvement and Management lake, ponds, and canals. Chemical treatment, including Garlon 3a and Garlon 4 (triclopyr), Rodeo (glyphosate), and Polaris (Imazapyr) as appropriate for aquatic invasive plant species to allow proper hydrologic flow throughout a Surface Water Improvement and Management area.","Human altered Surface Water Improvement and Management lake, ponds, and canals.",Lake/Pond,20.0,,,Invasives Control/Removal - Vegetation,,,0,39000,Improve or protect water quality:Protect/improve/provide habitat for fish/shellfish,Restoration,United States Air Force,,27.8318,-82.4838,United States Air Force,United States Air Force,27-SEP-21 03.32.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Non-forested Freshwater Wetlands,,8
21131,21131,"<a href=""http://google.com/maps/place/27.89932+-82.51546/@27.89932,-82.5154615z  target=""_blank"">Google Map</a>",2021,Region 4,FL,Tampa Bay Estuary Program,Canterbury Restoration Impact Academy Butterfly Restoration,"Canterbury Restoration Impact Academy Butterfly Restoration.  Twelve (12) volunteers planted native wildlife flower species to increase habitat and faunal diversity on the wooded, urban school campus. Project will be used as an educational experience for students.","Wooded, urban school campus",Field/Meadow,,,40.0,Planting,,,0,500,Improve/Increase educational or recreational opportunities:Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Restoration,Impact Academy,,27.8993,-82.5155,Tampa Bay Estuary Specialty License Plate funds,Impact Academy,27-SEP-21 03.35.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Uplands (Non-coastal),,9
21130,21130,"<a href=""http://google.com/maps/place/27.82475+-82.6211/@27.82475,-82.621115z  target=""_blank"">Google Map</a>",2021,Region 4,FL,Tampa Bay Estuary Program,Canterbury Restoration,"Canterbury Restoration.  Shoreline restoration within to wooded mangrove forest and brackish water creek that slows directly in Tampa Bay.  Students removed invasive species, planted native species and stabilized shoreline.",Shoreline restoration within to wooded mangrove forest and brackish water creek that slows directly in Tampa Bay,Forested Wetland,,,150.0,Shoreline Stabilization/Enhancement,,,0,5000,Erosion control:Improve/Increase educational or recreational opportunities:Increase or protect water quantity:Protect/improve/provide habitat for birds:Protect/improve/provide habitat for fish/shellfish:Protect/improve/provide habitat for other wildlife:Restore natural hydrology,Restoration,Canterbury School of Florida,,27.8248,-82.6211,Tampa Bay Estuary Specialty License Plate funds,Canterbury School of Florida,27-SEP-21 04.49.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Forested Freshwater Wetlands,Living Shorelines,2
21326,21326,"<a href=""http://google.com/maps/place/27.50918+-82.6684/@27.50918,-82.668415z  target=""_blank"">Google Map</a>",2021,Region 4,FL,Tampa Bay Estuary Program,Robinson Preserve Expansion Phase IIB Fish Passage,"Hydrological Connections were established to basins created in Phase IIA. Various coastal hammock and pine-flatwoods species were installed under multiple contracts, including sea grape, live oak, southern red cedar, grasses, and forbs. Project benefits include, restoration of natural hydrology, provide protection and habitat for fish/shellfish, birds and other wildlife.","Robinson Preserve Expansion Phase IIB Fish Passage. Robinson Preserve includes 679 acres of coastal grasslands, saltern, marsh, and mangrove habitat. These systems support a variety of rare wildlife, presenting careful observers with an opportunity to see roseate spoonbills, wood storks, white pelicans, bald eagles, and least terns in their natural environment. Sprouting up from the salty soil are a vast array of intriguing plants, including saltwort, glasswort, and succulent sea purslane.",Estuarine Shoreline,150.0,,,Fish Passage,,,0,2371000,Protect/improve/provide habitat for birds:Protect/improve/provide habitat for fish/shellfish:Protect/improve/provide habitat for other wildlife:Restore natural hydrology,Restoration,National Oceanic and Atmospheric Administration,,27.5092,-82.6684,National Oceanic and Atmospheric Administration,Manatee County,27-SEP-21 01.58.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Intertidal Estuarine (Other),,1
21436,21436,"<a href=""http://google.com/maps/place/27.851+-82.554/@27.851,-82.55415z  target=""_blank"">Google Map</a>",2021,Region 4,FL,Tampa Bay Estuary Program,Picnic Island Park Planting,Picnic Island Park Planting. Picnic Island Park is on the Interbay Peninsula just west of MacDill Air Force Base and includes mangroves and coastal uplands. Volunteers planted 171 mangroves along the shoreline of Picnic Island Park to restore the shoreline and prevent erosion.,Picnic Island Park is on the Interbay Peninsula just west of MacDill Air Force Base and includes mangroves and coastal uplands.,Mangrove,0.1,,,Planting,,,0,5000,Erosion control:Protect/improve/provide habitat for birds:Protect/improve/provide habitat for fish/shellfish:Protect/improve/provide habitat for other wildlife,Restoration,Keep Tampa Bay Beautiful,,27.8510,-82.5540,Keep Tampa Bay Beautiful,City of Tampa,28-SEP-21 02.38.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Mangrove Forests,,7
21435,21435,"<a href=""http://google.com/maps/place/27.781+-82.402/@27.781,-82.40215z  target=""_blank"">Google Map</a>",2021,Region 4,FL,Tampa Bay Estuary Program,Center for Conservation Planting,"Center for Conservation Planting.  The Center for Conservation (CFC) is a 20-acre campus located in Apollo Beach, Florida and exists as a partnership between the Tampa Electric Company (TECO), the Florida Aquarium, the Florida Fish and Wildlife Conservation Commission (FWC), and the University of Florida. Volunteers planted 750 seedlings on .2 acres, within the conservation area to enhance habitat.","The Center for Conservation (CFC) is a 20-acre campus located in Apollo Beach, Florida and exists as a partnership between the Tampa Electric Company (TECO), the Florida Aquarium, the Florida Fish and Wildlife Conservation Commission (FWC), and the University of Florida. Habitats include mangroves, salt barrens, salt marshes, and coastal uplands.",Mangrove,0.2,,,Planting,,,0,2000,Protect/improve/provide habitat for birds:Protect/improve/provide habitat for fish/shellfish:Protect/improve/provide habitat for other wildlife,Restoration,Keep Tampa Bay Beautiful,,27.7810,-82.4020,Keep Tampa Bay Beautiful,Hillsborough County,07-OCT-21 12.54.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Mangrove Forests,,7
21434,21434,"<a href=""http://google.com/maps/place/27.793+-82.401/@27.793,-82.40115z  target=""_blank"">Google Map</a>",2021,Region 4,FL,Tampa Bay Estuary Program,Invasive Removal at Manatee Viewing Center,"Invasive Removal at Manatee Viewing Center.  Several habitats (mangroves, saltern, coastal uplands) as well as a wide variety of animal life are preserved within conservation areas.  Volunteers removed  200 pounds of invasive plants (e.g., Brazilian pepper) and 9 bags of trash from the park.","Several habitats (mangroves, saltern, coastal uplands) as well as a wide variety of animal life are preserved within conservation areas. At the end of a walkway at the center, you can view manatees in Big Bend Power Station's discharge canal.",Mangrove,20.0,,,Invasives Control/Removal - Vegetation,,,0,200,Protect/improve/provide habitat for birds:Protect/improve/provide habitat for fish/shellfish:Protect/improve/provide habitat for other wildlife,Restoration,Keep Tampa Bay Beautiful,,27.7930,-82.4010,Keep Tampa Bay Beautiful,Hillsborough County,28-SEP-21 11.21.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Mangrove Forests,,15
21432,21432,"<a href=""http://google.com/maps/place/27.864+-82.383/@27.864,-82.38315z  target=""_blank"">Google Map</a>",2021,Region 4,FL,Tampa Bay Estuary Program,Mosaic Park Planting,"Mosaic Park Planting.  Mosaic Park, operated by Hillsborough County, includes approximately 800 feet of shoreline near the mouth of the Alafia River.  Volunteers planted 200 mangroves along the shoreline of Mosaic Park to restore the shoreline and prevent erosion.","Mosaic Park, operated by Hillsborough County, includes approximately 800 feet of shoreline near the mouth of the Alafia River.",Mangrove,0.1,,,Planting,,,0,8000,Protect/improve/provide habitat for birds:Protect/improve/provide habitat for fish/shellfish:Protect/improve/provide habitat for other wildlife,Restoration,Keep Tampa Bay Beautiful,,27.8640,-82.3830,Keep Tampa Bay Beautiful,Hillsborough County,28-SEP-21 11.19.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Mangrove Forests,,7
21431,21431,"<a href=""http://google.com/maps/place/27.953+-82.421/@27.953,-82.42115z  target=""_blank"">Google Map</a>",2021,Region 4,FL,Tampa Bay Estuary Program,Invasive Removal at McKay Bay Nature Park,"Invasive Removal at McKay Bay Nature Park. McKay Bay Nature Park is a 38-acre park in Tampa.  Volunteers removed 10,600 pounds of invasive plants such as Brazilian pepper.","McKay Bay Nature Park is a 38-acre park in Tampa. There is a 900-foot boardwalk trail through mangroves and mudflats, an observation tower that doubles as an education pavilion, a paved 1.25-mile multi-use trail and .5-mile nature trail. Picnic tables and interpretive signage are offered.",Mangrove,2.0,,,Invasives Control/Removal - Vegetation,,,0,3000,Protect or preserve open space:Protect/improve/provide habitat for birds:Protect/improve/provide habitat for fish/shellfish,Restoration,Keep Tampa Bay Beautiful,,27.9530,-82.4210,Keep Tampa Bay Beautiful,City of Tampa,28-SEP-21 11.18.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Mangrove Forests,,15
21120,21120,"<a href=""http://google.com/maps/place/28.15005+-82.55112/@28.15005,-82.5511215z  target=""_blank"">Google Map</a>",2021,Region 4,FL,Tampa Bay Estuary Program,Brooker Creek Headwaters Nature Preserve,Brooker Creek Headwaters Nature Preserve.  Improved pine flatwoods habitat boundary and reduced fuels to facilitate prescribed burn in urbanized prepped area.,"Forest/Woodland: An area of land covered by trees and understory vegetation, sometimes mixed with pasture; forests are described in terms of crown cover, such as closed forest, open forest, woodland and open woodland, and in terms of height of the tallest stratum, such as tall (over 30 meters), medium (10-30 meters) and low trees (under 10 meters).",Forest/Woodland,1.0,,,Other,,,0,4750,Improve/Increase educational or recreational opportunities:Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Maintenance,Hillsborough County,,28.1501,-82.5511,Hillsborough County Board of County Commissioners,Southwest Florida Water Management District/ Hillsborough County,28-SEP-21 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Uplands (Non-coastal),,18
21108,21108,"<a href=""http://google.com/maps/place/27.73708+-82.66436/@27.73708,-82.6643615z  target=""_blank"">Google Map</a>",2021,Region 4,FL,Tampa Bay Estuary Program,Boyd Hill Nursery Planting,"Boyd Hill Nursery Planting. Disturbed land previously used as a nursery. The area is currently used for recreational purposes. The planting took place between April 6th-9th thanks to our staff of rangers, maintenance crew, supervisors and a slew of amazing volunteers.  We planted 3,000+ Florida native plants … including 2,000+ Wiregrass, over 700 Elliott’s Lovegrass, 250 Blazing Star and 25 Prickly Pear to restore a disturbed uplands area that is now part of the trail expansion at the preserve.  We chose these plants to provide habitat for our gopher tortoises & other wildlife, to support our native pollinators, and to help regenerate the disturbed soil through the plant’s root system.",Disturbed land previously used as a nursery. The area is currently used for recreational purposes.,Field/Meadow,2.0,,,Planting,,,0,5000,Improve/Increase educational or recreational opportunities:Protect or preserve open space:Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Restoration,City of St Petersburg,,27.7371,-82.6644,Donation from the Margaret & David Perry Foundation,City of St. Petersburg,28-SEP-21 08.32.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Uplands (Non-coastal),,9
21107,21107,"<a href=""http://google.com/maps/place/27.806+-82.7701/@27.806,-82.770115z  target=""_blank"">Google Map</a>",2021,Region 4,FL,Tampa Bay Estuary Program,War Veterans' Memorial Park,"War Veterans' Memorial Park. Scrubby flatwoods, xeric hammock, mangrove swamp.  Applied herbicide treatment (glyphosate and triclopyr), re-treated areas currently in maintenance, rosary pea, air potato, Brazilian pepper, Australian almund tree, punk tree, cogon grass, Guinea grass, lead tree, castor bean, java plum, carrotwood, lantana, simpleleaf chastetree, scaevola+ - all hardwoods basil treated or near water cut and stump treated with triclopyr, all others were foliar treated with glyphosate","Scrubby flatwoods, xeric hammock, mangrove swamp",Forest/Woodland,52.0,,,Invasives Control/Removal - Vegetation,,Y,0,0,Improve/Increase educational or recreational opportunities:Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Restoration,Pinellas Parks and Conservation,,27.8060,-82.7701,Pinellas County Operating,Pinellas County,28-SEP-21 11.51.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Uplands (Non-coastal),,134
21105,21105,"<a href=""http://google.com/maps/place/27.835+-82.811/@27.835,-82.81115z  target=""_blank"">Google Map</a>",2021,Region 4,FL,Tampa Bay Estuary Program,Boca Ciega Millennium Park,"Boca Ciega Millennium Park.  Herbicide treatment (glyphosate and triclopyr), re-treated areas currently in maintenance, rosary pea, air potato, Brazilian pepper, Australian almund tree, punk tree, cogon grass, Guinea grass, lead tree, castor bean, java plum, carrotwood, lantana, simpleleaf chastetree, scaevola+ - all hardwoods basil treated or near water cut and stump treated with triclopyr, all others were foliar treated with glyphosate.","Scrubby flatwoods, mangrove swamp xeric hammock, salt marsh, Public recreation",Freshwater Marsh,72.0,,,Invasives Control/Removal - Vegetation,,,0,5400,Improve or protect water quality:Improve/Increase educational or recreational opportunities:Protect/improve/provide habitat for birds:Protect/improve/provide habitat for fish/shellfish:Protect/improve/provide habitat for other wildlife,Restoration,Pinellas County Parks and Conservation,,27.8350,-82.8110,Pinellas County Operating,Pinellas County,29-SEP-21 08.50.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Non-forested Freshwater Wetlands,,8
