View_Detail,Federal_Fiscal_Year,Region,State_Code,NEP_Name,Project_Name,Project_Description,Habitat_Description,Habitat_Type,Restoration_Technique,Donated_Land,Data_Unavailable,EPA_Section_320,Total_Project_Cost,Project_Benefits,Activity_Name,Lead_Implementer,Partners,Main_Funding_Source,Site_Owner,Last_Updated_Date,NEP_Comments,HQ_Comments,HQ_Status,Region_Status,Total_Cost,Author,Submitter_Email,PrimaryHabitat,SecondaryHabitat,Acres,Miles,Latitude,Longitude,Feet,ID_Number,GeneralHabitat,GeneralActivity,BeforePhotoCredit,BeforePhotoCaption,DuringPhotoCredit,DuringPhotoCaption,AfterPhotoCredit,AfterPhotoCaption,TBEP_Notes
2217,2010,Region 4,FL,Tampa Bay Estuary Program,Wolfbranch Creek Nature Preserve Ephemeral Pond Creation,"Re-sculptured existing coastal uplands previously filled and degraded with overburden from adjacent, on-site restoration. Project also includes enhancement of 1.5 acres of coastal uplands.",,,Other,,,0,,,,Ecosphere Restoration Institute,,,,26-AUG-10 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,3.5,,27.739,-82.444,,R-106,Upland,Restoration,,,,,,,
2933,2011,Region 4,FL,Tampa Bay Estuary Program,Bayshore Beautiful HOA Seawall Oyster Dome Project,"Installation of 793 marine friendly, hollow, concrete oyster domes to create fisheries habitat and provide stormwater biological filters.",,,,,,0,0,Reef Construction - Artificial Materials,,Tampa Bay Watch,,,,15-SEP-11 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,Artificial Reefs,,0.218939394,27.89866,-82.48832,1156,SEP-002,Estuarine,Restoration,,,,,,,
3009,2011,Region 4,FL,Tampa Bay Estuary Program,Bi-Annual Bear Creek Clean-Up,Volunteers participated in bi-annual debris removal events at the creek each year. More than three tons of debris is removed annually from the creek.,,,Debris Removal,,,0,,,,Tampa Bay Estuary Program,,,,05-OCT-11 12.00.00.000000000 AM -05:00,10/05/11 11:18 : Ronald A Hosler :  60 yard large trash bags of debris were removed from the creek.,09/27/11 12:40 : CN=Nancy Laurson/OU=DC/O=USEPA/C=US : Can you say how many bags where picked up for this event?,APPROVED,APPROVED,,,ron@tbep.org,,,,1,27.769,-82.714,5280,E-132,Freshwater,Enhancement,,,,,,,
2999,2011,Region 4,FL,Tampa Bay Estuary Program,Brooker Creek Preserve - Pine Ridge Area Invasive Plant Management,"Herbicide treatment of nuisance exotic vegetation; Air potato, Brazilian pepper, camphor.",Flatwoods and hammock being invaded by non-native invasive vegetation.,,Invasives Control/Removal - Vegetation,,,0,11621,,,Pinellas County Parks and Conservation Resources,,,,29-AUG-11 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,5.5,,28.1361,-82.6573,,E-133,Upland,Enhancement,,,,,,,
2875,2011,Region 4,FL,Tampa Bay Estuary Program,Brooker Creek Preserve - South Invasive Plant Management,"Herbicide treatment of nuisance exotic vegetation; Brazilian pepper, cogongrass, guinea grass, Japanese climbing fern, torpedo grass, wedelia.",Forested upland edges along dirt access road in south end of Brooker Creek Preserve.,,Invasives Control/Removal - Vegetation,,,0,16211,,,Pinellas County Parks and Conservation Resources,,,,29-AUG-11 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,14,,28.1361,-82.6573,,E-134,Upland,Enhancement,,,,,,,
3043,2011,Region 4,FL,Tampa Bay Estuary Program,Brooker Creek Preserve Prescribed Burn (Unit North Diagonal West),Prescribed burn used to control competing vegetation and maintenance of fire-dependent species.,Forested flatwoods and hammock in the north Coventry subdivision area.,,Prescribed Burn,,,0,4650,,,Pinellas County Parks and Conservation Resources,,,,29-AUG-11 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,5,,28.122,-82.681,,E-135,Upland,Enhancement,,,,,,,
2936,2011,Region 4,FL,Tampa Bay Estuary Program,Brooker Creek Preserve Prescribed Burn (Unit-Diagonal Ponds East),Prescribed burn used to control competing vegetation and maintenance of fire dependent species.,This area of habitat consists of flatwoods east of two ponds off the diagonal powerline.,,Prescribed Burn,,,0,3150,,,Pinellas County Parks and Conservation Resources,,,,29-AUG-11 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,21,,28.12,-82.673,,E-136,Upland,Enhancement,,,,,,,
3005,2011,Region 4,FL,Tampa Bay Estuary Program,Brooker Creek Preserve Prescribed Burn (Unit-Glenridge),Prescribed burn and firebreak disking used to control competing vegetation and maintenance of fire-dependent species.,Flatwoods near the Glenridge subdivision.,,Prescribed Burn,,,0,2321,,,Pinellas County Parks and Conservation Resources,,,,15-SEP-11 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,8,,28.101,-82.672,,E-137,Upland,Enhancement,,,,,,,
2934,2011,Region 4,FL,Tampa Bay Estuary Program,Cabbage Key Exotic Vegetation Removal,Removal of non-native vegetation such as Brazilian pepper that was impeding native plant growth.,,,Invasives Control/Removal - Vegetation,,,0,,,,Pinellas County Parks and Conservation Resources,,,,29-AUG-11 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,4.5,,27.667,-82.725,,E-138,Mix (estuarine and upland),Enhancement,,,,,,,
1971,2011,Region 4,FL,Tampa Bay Estuary Program,Canterbury School Bay Restoration,Students shoveled 24 tons of shell into mesh bags. The bags were transported by boat and students stacked the shell-filled mesh bags to create a reef structure.,,,,,,0,0,Reef Construction - Natural Materials,,Tampa Bay Watch,,,,27-SEP-11 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,,0.042613636,27.8552,-82.61909,225,LS-055,Estuarine,Restoration,,,,,,,
2930,2011,Region 4,FL,Tampa Bay Estuary Program,Clam Bayou Native Planting,"Removed various invasive plants and replanted with native shrubs and trees. Slash pines, Sabal palms and small shrubs were planted in area cleared from invasive plants.",,,Invasives Control/Removal - Vegetation,,,0,,,,Tampa Bay Estuary Program,,,,29-AUG-11 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,0.25,,27.741,-82.687,,E-139,Upland,Enhancement,,,,,,,
2886,2011,Region 4,FL,Tampa Bay Estuary Program,Cow Branch Invasive Plant Management,"Herbicide treatment of nuisance exotic vegetation; air potato, caesar weed, taro, guinea grass, cogon grass.",Hammock area on eastern edge of the management area.,,Invasives Control/Removal - Vegetation,,,0,2492,,,Pinellas County Parks and Conservation Resources,,,,29-AUG-11 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,1.4,,28.072,-82.713,,E-140,Upland,Enhancement,,,,,,,
2932,2011,Region 4,FL,Tampa Bay Estuary Program,East Lake Management Area Invasive Plant Management,"Herbicide treatment of nuisance exotic vegetation; air potato, caesarweed taro, guinea grass, Brazilian pepper, banana, wedelia, arrowhead vine, castorbean, elephant ear.",Hammock area containing non-native vegetation on the edge of the property and internal berm.,,Invasives Control/Removal - Vegetation,,,0,5881,,,Pinellas County Parks and Conservation Resources,,,,29-AUG-11 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,3.7,,28.096,-82.7,,E-141,Mix (freshwater and upland),Enhancement,,,,,,,
2998,2011,Region 4,FL,Tampa Bay Estuary Program,Estuary EDventures,"Students and volunteers planted more than 3,000 native sea oats to stabilize coastal shoreline as part of several service projects.","The largest park within the Pinellas County Park System, Fort De Soto park consists of 1,136 acres made up of five interconnected islands (keys). These keys are home to beach plants, mangroves, wetlands, palm hammocks, hardwoods and scores of native plants. Each of these species plays a vital role in the preservation and protection of the natural environment.",Dune,Planting,,,0,6000,Erosion control:Improve or protect water quality:Protect/improve/provide habitat for birds,Restoration,Tampa Bay Estuary Program,,Tampa Bay Estuary Program specialty license plate funds,Pinellas County,05-OCT-11 12.00.00.000000000 AM -05:00,"10/05/11 11:26 : Ronald A Hosler :  Students planted more than 3,000 native sea oats to stabilize coastal shoreline as part of several service projects.",09/27/11 10:21 : CN=Nancy Laurson/OU=DC/O=USEPA/C=US : Please help revise project description,APPROVED,APPROVED,,,ron@tbep.org,Coastal Uplands,,3.1,,27.636,-82.74,,,Uplands,Restoration,,,,,,,
2947,2011,Region 4,FL,Tampa Bay Estuary Program,Fort DeSoto Park Prescribed Burn,A prescribed burn was performed in the overgrown coastal uplands area to fuel reduction of the uplands.,,,Prescribed Burn,,,0,,,,Pinellas County Parks and Conservation Resources,,,,15-SEP-11 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,29,,27.625,-82.706,,E-142,Upland,Enhancement,,,,,,,
5486,2011,Region 4,FL,Tampa Bay Estuary Program,Give A Day for the Bay - Al Palonis Park,Removal of invasive Brazilian pepper trees in County-owned park. Brazilian pepper trees identified with flags were cut down. Tree limbs were hauled and placed into large pile for disposal. Cut tree stumps were treated with herbicide.,,,Invasives Control/Removal - Vegetation,,,0,,,,Tampa Bay Estuary Program,,,,29-AUG-11 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,2.5,,27.893,-82.533,,E-143,Estuarine,Enhancement,,,,,,,
2887,2011,Region 4,FL,Tampa Bay Estuary Program,Give A Day for the Bay - Emerson Point Preserve,"Planting of native sea oats and coral bean plants. Removal of invasive Brazilian pepper, Carrotwood, Rosary pea, air potato and Caesar weed.",,,Invasives Control/Removal - Vegetation,,,0,,,,Tampa Bay Estuary Program,,,,29-AUG-11 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,8.2,,27.53247,-82.62952,,E-144,Upland,Enhancement,,,,,,,
3059,2011,Region 4,FL,Tampa Bay Estuary Program,Give A Day for the Bay - Fort DeSoto Park,"Planting of more than 3,000 native plants within the Park. Plants included beach sunflower, railroad vine and sea oats.",,,Planting,,,0,,,,Tampa Bay Estuary Program,,,,29-AUG-11 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,2,,27.635,-82.74,,E-145,Upland,Enhancement,,,,,,,
3046,2011,Region 4,FL,Tampa Bay Estuary Program,Give A Day for the Bay - Lost River/Cockroach Bay,"Volunteers planted more than 1,000 native marsh grass plants in an area recently cleared of invasive plants.",,,Planting,,,0,,,,Tampa Bay Estuary Program,,,,29-AUG-11 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,2,,27.686,-82.506,,E-146,Freshwater,Enhancement,,,,,,,
3068,2011,Region 4,FL,Tampa Bay Estuary Program,Give A Day for the Bay - McKay Creek Greenway,Removal of invasive exotic plants including removing the aggressive grape vines and thorny smilax vines impeding the pine trees. Removal of seedling oak trees that do not belong in the pine flatwoods.,The McKay Creek basin is located in west central Pinellas County and includes parts of the City of Largo and Seminole and the Town of Belleair Bluffs. The length of the primary channel is approximately 6.2 miles and includes two reservoirs; Taylor lake and the Walsingham Reservoir.,Forest/Woodland,Invasives Control/Removal - Vegetation,,,0,150,Improve or protect water quality:Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Restoration,Tampa Bay Estuary Program,,Tampa Bay Estuary Program,Pinellas County,29-AUG-11 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,Uplands (Non-coastal),,10,,27.883,-82.809,,,Uplands,Restoration,,,,,,,
3003,2011,Region 4,FL,Tampa Bay Estuary Program,Give A Day for the Bay - Moccasin Lake Nature Park,Removal of air potato vines and tubers within the Moccasin Lake preserve area. The vines were thick on the ground and strangling the native trees.,"Moccasin Lake Nature Preserve is a 51-acre nature preserve in the City of Clearwater, FL. The preserve features a 5-acre lake and more than a miles of natural and board walking trails.",,Invasives Control/Removal - Vegetation,,,0,188,,,Tampa Bay Estuary Program,City of Clearwater,,,29-AUG-11 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,1.45,,27.976,-82.724,,E-147,Upland,Enhancement,,,,,,,
3010,2011,Region 4,FL,Tampa Bay Estuary Program,Give A Day for the Bay - Picnic Island Park,Removal of Brazilian pepper trees in City owned park adjacent to beach access to Tampa Bay.,,,Invasives Control/Removal - Vegetation,,,0,,,,Tampa Bay Estuary Program,,,,29-AUG-11 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,3,,27.855,-82.55,,E-148,Upland,Enhancement,,,,,,,
2991,2011,Region 4,FL,Tampa Bay Estuary Program,Give A Day for the Bay - Robinson Preserve,Planted more than 160 native slash pines and palmettos within the Preserve in an effort to improve habitat.,"Robinson Preserve is located in western Manatee County, a few miles west of downtown Bradenton. This 487 acre coastal property features the rare saltern habitat, miles of trails to explore, and lush mangrove forests.",Forest/Woodland,Planting,,,0,180,Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Restoration,Tampa Bay Estuary Program,,Tampa Bay Estuary Program,Manatee County,29-AUG-11 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,Uplands (Non-coastal),,1,,27.514,-82.663,,,Uplands,Restoration,,,,,,,
3058,2011,Region 4,FL,Tampa Bay Estuary Program,Green Key Oyster Bar Creation Project,"This project is a community-based oyster reef creation project, to install fossilized oyster shell along the western shoreline of Green Key.",,,,,,0,0,Reef Construction - Natural Materials,,Tampa Bay Watch,,,,16-SEP-11 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,,0.149621212,27.81899,-82.39946,790,LS-054,Estuarine,Restoration,,,,,,,
2931,2011,Region 4,FL,Tampa Bay Estuary Program,Lake Tarpon Management Area Invasive Plant Management,"Herbicide treatment of nuisance exotic vegetation; air potato, balsam apple, taro, Chinese tallow, hairy indigo, wedelia, sword fern, Guinea grass.",Forested wetland on northern edge of property including non-native vegetation.,,Invasives Control/Removal - Vegetation,,,0,6224,,,Pinellas County Parks and Conservation Resources,,,,29-AUG-11 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,7,,28.136,-82.71,,E-149,Upland,Enhancement,,,,,,,
3055,2011,Region 4,FL,Tampa Bay Estuary Program,Least Tern Roof Nesting Project,This project created an alternative nesting habitat for the threatened Least Tern species of bird. A barren roof area was transformed into an area which mimics the nesting habitat Least Terns prefer.,This project addressed the issue of diminishing habitat of the Least Tern; a threatened species of bird.,Other,Bird Habitat Enhancement,,,0,7310,Protect/improve/provide habitat for birds,Restoration,Tampa Bay Estuary Program,,Tampa Bay Estuary Program specialty license funds,Pinellas County,29-AUG-11 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,,0.005681818,27.847,-82.606,30,,Other,Restoration,,,,,,,
2937,2011,Region 4,FL,Tampa Bay Estuary Program,MacDill Invasive Species Control,"Chemical treatment of all invasive species within the project area. Invasive trees and grasses were treated through a mixture of foliar application and girdling to kill the plants in place. Following the initial herbicide applications, contractors were r",,,Invasives Control/Removal - Vegetation,,,0,,,,MacDill Air Force Base,,,,29-AUG-11 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,860,,27.836,-82.518,,E-150,Estuarine,Enhancement,,,,,,,
2874,2011,Region 4,FL,Tampa Bay Estuary Program,MacDill Upland Forest Habitat Management,Prescribed Burning: This burn block consists of shrub and brushland with hardwood overstory. Brazilian pepper and lead tree have inundated the area and evidence of chemical treatment is evident by the large amount of dead grasses and small trees. Some sc,,,Prescribed Burn,,,0,,,,MacDill Air Force Base,,,,29-AUG-11 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,16,,27.833,-82.489,,E-151,Upland,Enhancement,,,,,,,
2946,2011,Region 4,FL,Tampa Bay Estuary Program,Restoration at Little Manatee River State Park,"Planting of 4,000 native trees by volunteer park visitors after completion of prescribed burn.",,,Planting,,,0,,,,Tampa Bay Estuary Program,,,,29-AUG-11 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,71,,27.673,-82.375,,E-152,Estuarine,Enhancement,,,,,,,
1972,2011,Region 4,FL,Tampa Bay Estuary Program,Restoration of the Forest Conservation Area,Removal of Brazilian pepper trees and replanting with native plants after site cleaning had been completed.,"This project took place in a wetland conservation area which was overrun with Brazilian pepper trees, located within a neighborhood.",,Invasives Control/Removal - Vegetation,,,0,3400,,,Tampa Bay Estuary Program,The Forest of Countryway Homeowners Association,,,29-AUG-11 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,2.4,,28.024,-82.617,,E-153,Estuarine,Enhancement,,,,,,,
1970,2011,Region 4,FL,Tampa Bay Estuary Program,Shoreline Enhancement for MacDill Air Force Base Phase IV,"Installed 3,899 marine friendly, hollow, concrete oyster domes to create fisheries habitat and provide stormwater biological filters. Domes will also provide shoreline stabilization for the currently eroding coastline.",Intertidal wetland habitat in Southern Hillsborough County.,Hard Bottom,Reef Construction - Artificial Materials,,,0,375000,Erosion control:Improve or protect water quality:Protect/improve/provide habitat for fish/shellfish,Restoration,Tampa Bay Watch,,United States Department of Defense,United States Department of Defense,29-AUG-11 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,Hard Bottom,Artificial Reefs,,0.357954546,27.823,-82.474,1890,,Estuarine,Restoration,,,,,,,
2942,2011,Region 4,FL,Tampa Bay Estuary Program,Tarpon Key NWR Tidal Wetland Restoration,The Tarpon Key National Wildlife Refuge is part of the Pinellas National Wildlife Refuge system and is managed by US Fish and Wildlife Service. Tampa Bay Watch will coordinate with USFWS to host Bay Grasses in Classes plantings. These planting projects a,,,Shoreline Stabilization/Enhancement,,,0,,,,Tampa Bay Watch,,,,05-OCT-11 12.00.00.000000000 AM -05:00,"10/05/11 11:41 : Ronald A Hosler :  This not not a class, but a program to furnish native plants for habitat restoration installed by students and community volunteers.  1,000 native sea oats were planted.",09/27/11 10:10 : CN=Nancy Laurson/OU=DC/O=USEPA/C=US : Same comment about not included classes in NEPORT.,APPROVED,APPROVED,,,ron@tbep.org,,Living Shorelines,1,,27.666,-82.694,,E-154,Estuarine,Enhancement,,,,,,,
2935,2011,Region 4,FL,Tampa Bay Estuary Program,Tarpon Key Oyster Bar Creation Project,"This project is a community-based oyster reef creation project, to install recycled oyster shell along the western shoreline of Tarpon Key.",,,,,,0,0,Reef Construction – Artificial Materials,,Tampa Bay Watch,,,,16-SEP-11 12.00.00.000000000 AM -05:00,,09/27/11 10:09 : CN=Nancy Laurson/OU=DC/O=USEPA/C=US : Can we change the project description to say -,APPROVED,APPROVED,,Ronald A Hosler,ron@tbep.org,,Artificial Reefs,,0.047348485,27.66365,-82.69234,250,LS-056,Estuarine,Restoration,,,,,,,
3004,2011,Region 4,FL,Tampa Bay Estuary Program,Terra Ceia Aquatic Preserve Tidal Wetland Restoration,The Terra Ceia Aquatic Preserve is managed by Southwest Florida Water Management District-Surface Water and Improvement Program(SWFWMD-SWIM). Tampa Bay Watch will coordinate with SWFWMD-SWIM to host community and Bay Grasses in Classes plantings. These p,,,Shoreline Stabilization/Enhancement,,,0,,,,Tampa Bay Watch,,,,05-OCT-11 12.00.00.000000000 AM -05:00,"10/05/11 11:40 : Ronald A Hosler :  This not not a class, but a program to furnish native plants for habitat restoration installed by students and community volunteers.  2,000 native sea oats were planted.","09/27/11 10:05 : CN=Nancy Laurson/OU=DC/O=USEPA/C=US : This seems like a class - if so, I don't think it should be reported in NEPORT.  If not, can you please revise project description?",APPROVED,APPROVED,,,ron@tbep.org,,Living Shorelines,2,,27.584,-82.579,,E-155,Estuarine,Enhancement,,,,,,,
3056,2011,Region 4,FL,Tampa Bay Estuary Program,"Terra Ceia Uplands, Phase 6",Non-native plant removal followed by installation of native plant species; predominantly restoration of coastal pine flatwoods with hardwood hammocks.,,,Planting,,,0,,,,SWFWMD-SWIM,,,,29-AUG-11 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,158,,27.589,-82.571,,E-156,Upland,Enhancement,,,,,,,
3057,2011,Region 4,FL,Tampa Bay Estuary Program,Three Mile North Reef,"Portions of the Sunshine Skyway Fishing Pier will be demolished and submerged to create 70,000 tons of artificial reef.",,,Reef Construction - Artificial Materials,,,0,,,,Manatee County Natural Resources,,,,05-OCT-11 12.00.00.000000000 AM -05:00,"10/05/11 11:08 : Ronald A Hosler :  Portions of the Sunshine Skyway Fishing Pier were be demolished and submerged to create 70,000 tons of artificial reef.","09/28/11 16:40 : CN=Nancy Laurson/OU=DC/O=USEPA/C=US : The project description says will be demolisted - was this completed? If so, please revise text.",APPROVED,APPROVED,,,ron@tbep.org,,Artificial Reefs,23,,27.537,-82.745,,R-108,Estuarine,Restoration,,,,,,,
2873,2011,Region 4,FL,Tampa Bay Estuary Program,Watershed Improvement Partnership between Shorecrest Preparatory School and Placido Bayou Community Association,High school-aged students in partnership with the homeowners association used several of the ponds as study areas. Students took water quality samples and recorded data back at their school to track trends. Students also participated in several planting,,,Planting,,,0,,,,Tampa Bay Estuary Program,,,,27-SEP-11 12.00.00.000000000 AM -05:00,"09/27/11 11:37 : Ronald A Hosler :  Nancy - I updated the project description to show the amount of native plants planted.  This was a unique project partnering a homeowners association with a school to improve water quality in 3 of their ponds before draining to Tampa Bay.  In Florida, homeowner associations are very particular about the aesthetics of their property and usually are not willing to participate in projects where they may have to relinquish some control of an area in their property.  If this is not appropriate to stay in NEPORT, I understand. Thanks! Misty Cladas","09/27/11 10:02 : CN=Nancy Laurson/OU=DC/O=USEPA/C=US : I don't feel that this is a really strong project we want to include in NEPORT.  If you all want to keep it, please enhance the planting part of the project description and delete the other language.",APPROVED,APPROVED,,,ron@tbep.org,,,4.8,,27.817,-82.626,,E-157,Freshwater,Enhancement,,,,,,,
3060,2011,Region 4,FL,Tampa Bay Estuary Program,Weedon Island Preserve Prescribed Burn,A prescribed burn was done in the flatwoods and oak hammock areas as fuel reduction in the flatwoods.,,,Prescribed Burn,,,0,,,,Pinellas County Parks and Conservation Resources,,,,29-AUG-11 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,4,,27.849,-82.605,,E-158,Upland,Enhancement,,,,,,,
2923,2011,Region 4,FL,Tampa Bay Estuary Program,Whale Island Oyster Bar Creation Project,"This project is a community-based oyster reef creation project, to install recycled oyster shell along the northern shoreline of Whale Island",,,,,,0,0,Reef Construction - Natural Materials,,Tampa Bay Watch,,,,13-OCT-11 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,Hard Bottom,,0.162878788,27.66258,-82.69391,860,LS-053,Estuarine,Restoration,,,,,,,
3112,2012,Region 4,FL,Tampa Bay Estuary Program,Alafia Bank Bird Sanctuary Artificial Reef,"Creation of an artificial reef made from 212 concrete reef balls. Each reef ball is four feet wide and three and a half feet tall, weighing 1,300 pounds. The reef balls will to prevent erosion along the shore and provide habitat for oysters.",In the 1920's dredging to create a shipping channel in Tampa Bay created two man-made islands: Bird Island and Sunken Island. Over time the two islands have become known as Alafia Bank Bird Sanctuary.,,,,,0,0,Reef Construction - Artificial Materials,,Audubon of Florida,,,,29-AUG-12 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,Hard Bottom,,0.080492424,27.84893,-82.40934,425,LS-057,Estuarine,Restoration,,,,,,,
3184,2012,Region 4,FL,Tampa Bay Estuary Program,Alligator Lake Habitat Restoration,This project consisted of removal of exotic vegetation and hydrological restoration and creation to improve water quality flowing into Old Tampa Bay.,Alligator Lake is located in north Pinellas County and drains directly into Old Tampa Bay. The property contains ruderal uplands and stormwater ditch wetlands.,,Invasives Control/Removal - Vegetation,,,0,1750000,,,Pinellas County Parks and Conservation Resources,SWFWMD,,,29-AUG-12 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,18.64,,27.9819,-82.69814,,R-109,Mix (freshwater and upland),Restoration,,,,,,,
3237,2012,Region 4,FL,Tampa Bay Estuary Program,Bay Pines,Invasive plant species such as Brazilian pepper and lead trees were removed through a contractor. Trees were cut and the stumps treated to prevent re-growth. Stump removal and maintenance of area is overseen by St. Petersburg College Seminole campus.,,,Invasives Control/Removal - Vegetation,,,0,,,,Tampa Bay Watch,,,,29-AUG-12 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,12,,27.811,-82.786,,E-159,Estuarine,Enhancement,,,,,,,
3302,2012,Region 4,FL,Tampa Bay Estuary Program,Brooker Creek Preserve - South Invasive Plant Management,"Herbicide treatment of nuisance exotic vegetation such as Brazilian pepper, air potato, cogon grass, guinea grass, Japanese climbing fern, torpedo grass, wedelia.",Area within Brooker Creek Preserve consisting of flatwoods and hammock invaded by non-native vegetation.,,Invasives Control/Removal - Vegetation,,,0,22380,,,Pinellas County Parks and Conservation Resources,,,,29-AUG-12 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,20,,28.065,-82.689,,E-160,Upland,Enhancement,,,,,,,
3425,2012,Region 4,FL,Tampa Bay Estuary Program,Brooker Creek Preserve Pine Ridge Invasive Plant Management,"Herbicide treatment of nuisance exotic vegetation such as air potato, Brazilian pepper, camphor.",Flatwoods and hammock areas within Brooker Creek Preserve that are being invaded by non-native invasive vegetation.,,Invasives Control/Removal - Vegetation,,,0,8567,,,Pinellas County Parks and Conservation Resources,,,,29-AUG-12 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,5.5,,28.122,-82.69,,E-161,Upland,Enhancement,,,,,,,
3300,2012,Region 4,FL,Tampa Bay Estuary Program,Brooker Creek Preserve Prescribed Burn (Unit-Lora Lane to Diagonal),Prescribed burn to restore or improve flatwood habitats within the Preserve area as well as control pests and improve ecosystem diversity.,"The area within Brooker Creek is flatwoods located north of Lora Lane to the powerline intersection, in Pinellas County.",,Prescribed Burn,,,0,3000,,,Pinellas County Parks and Conservation Resources,Florida Forest Service,,,29-AUG-12 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,22,,28.116,-82.672,,E-162,Upland,Enhancement,,,,,,,
3301,2012,Region 4,FL,Tampa Bay Estuary Program,Brooker Creek Preserve Prescribed Burn (Unit-Worthington Cir),Prescribed burn to restore or improve flatwood habitats within the Preserve area as well as control pests and improve ecosystem diversity.,The area within Brooker Creek is flatwoods located north of Worthington Court near the Ridgemoor subdivision in Pinellas County.,,Prescribed Burn,,,0,3000,,,Pinellas County Parks and Conservation Resources,Florida Forest Service,,,29-AUG-12 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,12,,28.117,-82.684,,E-163,Upland,Enhancement,,,,,,,
3253,2012,Region 4,FL,Tampa Bay Estuary Program,Clam Bayou Phase 3,This final phase of restoration at Clam Bayou consisted of restoration and stormwater treatment and restoration of various coastal upland habitats.,,,Invasives Control/Removal - Vegetation,,,0,,,,SWFWMD,,,,29-AUG-12 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,,28.36,,27.743,-82.685,,R-110,Upland,Restoration,,,,,,,
3317,2012,Region 4,FL,Tampa Bay Estuary Program,Cockroach Bay Aquatic Preserve,Planting of salt marsh is utilized for shoreline stabilization and habitat enhancement at the project location.,,,Shoreline Stabilization/Enhancement,,,0,,,,Tampa Bay Watch,,,,29-AUG-12 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,,ron@tbep.org,,Living Shorelines,10,,27.822,-82.472,,E-165,Estuarine,Enhancement,,,,,,,
