"View_Detail","Federal_Fiscal_Year","Region","State_Code","NEP_Name","Project_Name","Project_Description","Habitat_Description","Habitat_Type","Restoration_Technique","Donated_Land","Data_Unavailable","Total_Project_Cost","Project_Benefits","Activity_Name","Lead_Implementer","Partners","Main_Funding_Source","Site_Owner","Last_Updated_Date","NEP_Comments","HQ_Comments","HQ_Status","Region_Status","Author","Submitter_Email","PrimaryHabitat","SecondaryHabitat","EPA_Section_320","Acres","Miles","Latitude","Longitude","Feet","ID_Number","GeneralHabitat","GeneralActivity","BeforePhotoCredit","BeforePhotoCaption","DuringPhotoCredit","DuringPhotoCaption","AfterPhotoCredit","AfterPhotoCaption"
3695,2013,"Region 4","FL","Tampa Bay Estuary Program","Elnor Island Oyster Bar Creation Project","The goal of Tampa Bay Watch’s Community Oyster Reef Enhancement Program is to increase the oyster population in Tampa Bay and at the same time, provide habitats for small organisms, prevent erosion, improve water quality and improve fish and wildlife h","","","","","","0","Reef Construction - Natural Materials","","Tampa Bay Watch","","","","05-SEP-13 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Artificial Reefs","Hard Bottom",0,NA,0.123106061,27.78696,-82.7759,650,"LS-062","Estuarine","Restoration","","","","","",""
3749,2013,"Region 4","FL","Tampa Bay Estuary Program","Fort De Soto Native Coastal Planting Site 3","Volunteers planted intertidal marsh plants in stormwater swales in the north parking lot of Fort De Soto Park to control stormwater runoff.","","","Vegetation Buffer","","","","","","Tampa Bay Watch","","","","05-SEP-13 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Low-Salinity Salt Marsh","",0,0.27,NA,27.636,-82.736,NA,"E-186","Estuarine","Maintenance","","","","","",""
3837,2013,"Region 4","FL","Tampa Bay Estuary Program","Fort DeSoto Native Coastal Planting Site 1","Volunteers planted high marsh plants in stormwater swales in the north parking lot of Fort De Soto Park to control stormwater runoff.","","","Vegetation Buffer","","","","","","Tampa Bay Watch","","","","05-SEP-13 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Low-Salinity Salt Marsh","",0,0.17,NA,27.642,-82.739,NA,"E-187","Estuarine","Maintenance","","","","","",""
5595,2013,"Region 4","FL","Tampa Bay Estuary Program","Give A Day - Rye Preserve","Community volunteers work with County park staff to remove invasive air potato vines and tubers, rosary pea, caesar weed, trash and debris.","","","Invasives Control/Removal - Vegetation","","","","","","Tampa Bay Estuary Program","","","","05-SEP-13 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Uplands (Non-coastal)","",0,8,NA,27.513,-82.364,NA,"E-188","Uplands","Maintenance","","","","","",""
3844,2013,"Region 4","FL","Tampa Bay Estuary Program","Give A Day for the Bay - Al Palonis Park","Community volunteers removed more than 4 tons of invasive Brazilian pepper from the area. Also removed other invasive plants such as lead tree and debris removal from shoreline.","","","Invasives Control/Removal - Vegetation","","","","","","Tampa Bay Estuary Program","","","","05-SEP-13 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Forested Freshwater Wetlands","",0,2,NA,27.892,-82.54,NA,"E-189","Freshwater","Maintenance","","","","","",""
3737,2013,"Region 4","FL","Tampa Bay Estuary Program","Give A Day for the Bay - Joe's Creek Park","Community volunteers removed thirty bags of debris and invasive plants along the creek shoreline and adjacent land areas.","","","Invasives Control/Removal - Vegetation","","","","","","Tampa Bay Estuary Program","","","","05-SEP-13 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Uplands (Non-coastal)","",0,2,NA,27.815,-82.692,NA,"E-190","Uplands","Maintenance","","","","","",""
3738,2013,"Region 4","FL","Tampa Bay Estuary Program","Give A Day for the Bay - Lowry Park Zoo","More than sixty (60) volunteers worked at various locations within the Zoo to remove invasive exotic plants such as air potato and skunk weed.","Tampa's Lowry Park Zoo is today ranked the number one zoo in the U.S. (Parents magazine 2009 & Child magazine 2004) and recognized by the State of Florida as a center for Florida wildlife conservation and biodiversity (HB 457).Natural outdoor exhibits for","","Invasives Control/Removal - Vegetation","","","870","","","Tampa Bay Estuary Program","Lowry Park Zoo","","","05-SEP-13 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Uplands (Non-coastal)","",0,4,NA,28.011,-82.47,NA,"E-191","Uplands","Maintenance","","","","","",""
3845,2013,"Region 4","FL","Tampa Bay Estuary Program","Give A Day for the Bay - Perico Preserve","Volunteers were asked to move cabbage palms from one area of the preserve to another. Volunteers removed and replanted 124 cabbage palms to a salt marsh area within the preserve.","The 176-acre property was originally farmland and the extensive mangrove fringe is currently undergoing restoration to become another natural habitat within Manatee County�s coastal preserve system. Plans include the construction of a lagoon to support seagrass growth and a bird rookery island.","Forested Wetland","Planting","","","490","Improve or protect water quality:Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife","Restoration","Tampa Bay Estuary Program","","Tampa Bay Estuary Program","Manatee County Department of Natural Resources","05-SEP-13 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Forested Freshwater Wetlands","",0,12,NA,27.496,-82.686,NA,"","Freshwater","Restoration","","","","","",""
3858,2013,"Region 4","FL","Tampa Bay Estuary Program","Give a Day for the Bay - Sawgrass Lake","Volunteers spent the morning clearing out invasive air potatos, trash and debris from within the park. More than 400 pounds of air potatos were removed as well as 9 large bags of trash and 3 tires.","","","Invasives Control/Removal - Vegetation","","","","","","Tampa Bay Estuary Program","","","","05-SEP-13 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Forested Freshwater Wetlands","",0,11,NA,27.842,-82.671,NA,"E-192","Freshwater","Maintenance","","","","","",""
3796,2013,"Region 4","FL","Tampa Bay Estuary Program","Green Key Oyster Bar Creation Project","This project is a community-based oyster reef creation project, to install fossilized oyster shell along the western shoreline of Green Key. To create the 790 linear feet of shoreline, approximately 96 tons of shell was used. Restoring this shoreline wil","","","","","","0","Reef Construction - Natural Materials","","Tampa Bay Watch","","","","18-SEP-13 12.00.00.000000000 AM -05:00","09/17/13 15:31 : Ronald A Hosler :  To create the 790 linear feet of shoreline, approximately 96 tons of shell was used.  Restoring this shoreline will preserve valuable foraging habitat for wading and shorebirds, including some of our rarest species: American Oystercatchers, Reddish Egrets, and Roseate Spoonbills.","","APPROVED","APPROVED","","ron@tbep.org","Mangrove Forests","Hard Bottom",0,NA,0.149621212,27.81764,-82.3991,790,"LS-063","Estuarine","Restoration","","","","","",""
3753,2013,"Region 4","FL","Tampa Bay Estuary Program","Hands-On Learning Through Coastal Habitat Restoration","Plant sea oats, Uniola paniculata, along shoreline areas in Fort De Soto Park to expand sand dune area and sea oat coverage.","","","Beach Nourishment","","","","","","Tampa Bay Watch","","","","05-SEP-13 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Coastal Uplands","",0,NA,NA,27.615,-82.735,NA,"E-193","Uplands","Maintenance","","","","","",""
3676,2013,"Region 4","FL","Tampa Bay Estuary Program","Invasive Species Control","Work in 2013 included the chemical treatment of Brazilian pepper and other non-native, invasive species across two quadrants of the base (1,011 acres). Invasive trees and grasses were treated through a mixture of foliar application and girdling to kill th","","","Invasives Control/Removal - Vegetation","","","","","","MacDill Air Force Base","","","","05-SEP-13 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Uplands (Non-coastal)","",0,880,NA,27.843,-82.535,NA,"E-194","Uplands","Maintenance","","","","","",""
3795,2013,"Region 4","FL","Tampa Bay Estuary Program","Mac Dill Air Force Base","More than 3,000 salt marsh plants were planted by student and teacher volunteers. Salt marsh (Spartina alterniflora) is utilized for shoreline stabilization and habitat enhancement at the project location. Salt marsh has numerous benefits for Tampa Bay and its marine and shoreline inhabitants: stabilizes shorelines and protects against erosion, provides habitat for small fish and other creatures, traps sediments that would otherwise sweep into the bay. Salt marsh communities are critically important habitats that grow along the intertidal fringe of the bay, preventing erosion, absorbing pollutants, and providing habitat for important fish and wildlife species.","Intertidal wetland habitat in Southern Hillsborough County.","","Shoreline Stabilization/Enhancement","","","","","","Tampa Bay Watch","","","","20-SEP-13 12.00.00.000000000 AM -05:00","09/17/13 13:33 : Ronald A Hosler :  Salt marsh has numerous benefits for Tampa Bay and its marine and shoreline inhabitants: stabilizes shorelines and protects against erosion, provides habitat for small fish and other creatures, traps sediments that would otherwise sweep into the bay. Salt marsh communities are critically important habitats that grow along the intertidal fringe of the bay, preventing erosion, absorbing pollutants, and providing habitat for important fish and wildlife species.","09/18/13 12:29 : CN=Nancy Laurson/OU=DC/O=USEPA/C=US : Ron- sorry know you respondednt Felicia's comments but it's still unclear what actually took place.  Can you add a sentence to the Project Description (Not the comment field please) to indicate what work was done? Thanks!","APPROVED","APPROVED","","ron@tbep.org","Low-Salinity Salt Marsh","Living Shorelines",0,0.36,NA,27.83179,-82.47197,NA,"E-195","Estuarine","Maintenance","","","","","",""
3847,2013,"Region 4","FL","Tampa Bay Estuary Program","MacDill Air Force Base Phase 3","This project has enhanced/restored 111.45 ac of various estuarine, freshwater, and coastal upland habitats. Portions of base and golf course stormwater runoff were re-routed through wetlands that will provide some cleansing of potential pollutants prior t","","","Invasives Control/Removal - Vegetation","","","","","","SWFWMD","","","","30-SEP-13 12.00.00.000000000 AM -05:00","09/30/13 15:45 : Ronald A Hosler :  This project has enhanced/restored 111.45 ac of various estuarine, freshwater, and coastal upland habitats distributed among 23 sectors of both the north and south golf courses. Portions of base and golf course stormwater runoff were re-routed through wetlands that will provide some cleansing of potential pollutants prior to draining to Tampa Bay. Excavation/creation of the new wetlands typically was adjacent and complementary to existing wetlands and/or upland communities.  Primary land clearing (i.e., non-native vegetation), excavation, and contouring were accomplished using trackhoes and bulldozers.  Plant and trash debris and soils/sediments were loaded and hauled away via trackhoes, front-end loaders, and dump trucks.   09/17/13 13:23 : Ronald A Hosler :  The project involves lands associated with the base golf course, a drainage canal, a borrow pit/stormwater pond, and preserve areas. The project will complement and coalesce with the previous two phases. Potential restoration is envisioned to involve stormwater treatment/polishing coupled with creation of a low salinity lagoon, tidal channels, creation of tidal marshes, estuarine wetland enhancement, and upland enhancement.","09/18/13 12:39 : CN=Nancy Laurson/OU=DC/O=USEPA/C=US : Ron- we don't consider stormwater ponds to be habitat for NEPORT purposes. Did the the invasive species removal occur there?  If so we don't count them so I won't be able to approve.","APPROVED","APPROVED","","ron@tbep.org","Uplands (Non-coastal)","",0,111,NA,27.835,-82.476,NA,"R-115","Uplands","Restoration","","","","","",""
3697,2013,"Region 4","FL","Tampa Bay Estuary Program","MacDill Seagrass Transplanting Project Phase IV","Approximately 1,200 20cm x 20cm manatee grass sod units with sediment attached were harvested June thru September 2010 within a permitted donor area located in south-eastern Old Tampa Bay and transplanted along the southeastern shoreline of MacDill AFB wh","","","Planting","","","","","","Tampa Bay Watch","","","","05-SEP-13 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Seagrasses","",0,NA,0.745643939,27.823,-82.474,3937,"E-197","Estuarine","Maintenance","","","","","",""
3846,2013,"Region 4","FL","Tampa Bay Estuary Program","MacDill Shoreline Stabilization and Enhancement Project","The goal of Tampa Bay Watch’s Community Oyster Reef Enhancement Program is to increase the oyster population in Tampa Bay and at the same time, provide habitats for small organisms","","","","","","0","Shoreline Stabilization/Enhancement","","Tampa Bay Watch","","","","17-SEP-13 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Living Shorelines","Oyster Bars",0,NA,0.146590909,27.82352,-82.47134,774,"LS-066","Mix (estuarine and freshwater)","Restoration","","","","","",""
3691,2013,"Region 4","FL","Tampa Bay Estuary Program","NE 4th Avenue Wetlands Restoration","The project is located on approximately 2.1 acres within the City of Mulberry in Polk County. The project site is bisected by the Ellis Branch, a tributary to the North Prong of the Alafia River, which drains to Tampa Bay. Approximately 310 linear feet of","","","Invasives Control/Removal - Vegetation","","","","","","City of Mulberry","","","","05-SEP-13 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Non-forested Freshwater Wetlands","",0,NA,0.117424242,27.896,-81.969,620,"E-198","Freshwater","Maintenance","","","","","",""
3754,2013,"Region 4","FL","Tampa Bay Estuary Program","Restoration of no-name retention pond at the Shores of Long Bayou","Brazilian pepper trees were removed, as well as removal of cattails by the roots to prevent futher growth. Invasive vegetation was replaced with native plants.","","","Invasives Control/Removal - Vegetation","","","","","","Pinellas County","","","","05-SEP-13 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Non-forested Freshwater Wetlands","",0,0.1,NA,27.831,-82.772,NA,"E-199","Freshwater","Maintenance","","","","","",""
3752,2013,"Region 4","FL","Tampa Bay Estuary Program","Schultz Nature Preserve Oyster Bar Creation Project","Oyster bars places along the shoreline of the beach.To create the 1,850 linear feet of shoreline approximately 187.1 tons of shell was used.","","","","","","0","Shoreline Stabilization/Enhancement","","Tampa Bay Watch","","","","18-SEP-13 12.00.00.000000000 AM -05:00","09/17/13 15:35 : Ronald A Hosler :  To create the 1,850 linear feet of shoreline approximately 187.1 tons of shell was used.","","APPROVED","APPROVED","","ron@tbep.org","Living Shorelines","Oyster Bars",0,NA,0.350378788,27.81383,-82.40075,1850,"LS-065","Mix (estuarine and freshwater)","Restoration","","","","","",""
3794,2013,"Region 4","FL","Tampa Bay Estuary Program","Tarpon Key Oyster Bar Creation Project","This project is a community-based oyster reef creation project, to install recycled oyster shell along the western shoreline of Tarpon Key. Establishment of oyster bars along the shorelines of both islands will buffer the area from wave action, providing","","","","","","0","Reef Construction - Natural Materials","","Tampa Bay Watch","","","","18-SEP-13 12.00.00.000000000 AM -05:00","09/17/13 13:18 : Ronald A Hosler :  Establishment of oyster bars along the shorelines of both islands will buffer the area from wave action, providing optimal conditions for the settlement of additional salt marsh plants and mangroves.  New oyster communities will further enhance and protect local biodiversity through the creation of foraging areas and continued refuge for the many species of fish and birds inhabiting both islands.","","APPROVED","APPROVED","","ron@tbep.org","Oyster Bars","",0,NA,0.142992424,27.6854,-82.71727,755,"LS-064","Estuarine","Restoration","","","","","",""
3677,2013,"Region 4","FL","Tampa Bay Estuary Program","Ulele Springs Restoration Project","This natural spring will be expanded to create native freshwater wetlands and the pipe will be removed as well a section of the seawall to allow a spring run to be restored to the river for fisheries habitat enhancement; in addition, ~500 linear feet of “","Ulele Spring is currently concrete-lined and is piped to the Hillsborough River.","","Bulkhead Removal","","","655000","","","Ecosphere Restoration Institute","","","","05-SEP-13 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Tidal Tributaries","",10000,1,NA,27.959,-82.462,NA,"R-116","Mix (estuarine and freshwater)","Restoration","","","","","",""
4269,2014,"Region 4","FL","Tampa Bay Estuary Program","Anderson Park Exotic Control","Maintenance removal of exotic, invasive vegetation including reduction of grape vines.","This 135 acre park owned by Pinellas County is adjacent to Lake Tarpon and contains areas of forested woodlands, beach shoreline, walking paths and recreation areas.","Forest/Woodland","Invasives Control/Removal - Vegetation","","","42341","Improve or protect water quality:Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife","Restoration","Pinellas County","","National Fish and Wildlife Foundation Grant","Pinellas County","19-SEP-14 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Uplands (Non-coastal)","",0,48,NA,28.084,-82.702,NA,"","Uplands","Restoration","","","","","",""
4216,2014,"Region 4","FL","Tampa Bay Estuary Program","Anderson Park Exotics","Treatment of exotic vegetation including rosary pea, cogon grass, air potato, Japanese climbing fern, Boston fern, arrowhead vine and golden bamboo.","Anderson Park in Pinellas County contains sandhill, scrub flatwoods and maintained areas throughout the park.","","Invasives Control/Removal - Vegetation","","","7660","","","Florida Fish and Wildlife Commission","Pinellas County","","","19-SEP-14 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Uplands (Non-coastal)","",0,48,NA,28.13,-82.739,NA,"E-200","Uplands","Maintenance","","","","","",""
4215,2014,"Region 4","FL","Tampa Bay Estuary Program","Anderson Park-Melaleuca","Pinellas County staff provided treatment for control of the invasive, exotic Melaleauca tree.","Anderson Park in Pinellas County. Freshwater wetland with some Melaleuca invasion in the non-public use area of the park.","","Invasives Control/Removal - Vegetation","","","6479","","","Florida Fish and Wildlife Commission","Pinellas County","","","17-SEP-14 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Forested Freshwater Wetlands","",0,6,NA,28.136,-82.738,NA,"E-201","Freshwater","Maintenance","","","","","",""
4353,2014,"Region 4","FL","Tampa Bay Estuary Program","Bahia Beach","This property was previously cleared of the citrus trees which in turn allowed some native and non-native plants and shrubs to grow.This project site will be properly graded to transition from oligohaline marsh to forested wetlands and mixed forested wetl","","","Vegetation Buffer","","","","","","SWFWMD","","","","19-SEP-14 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Uplands (Non-coastal)","",0,148,NA,27.726,-82.461,NA,"E-202","Uplands","Maintenance","","","","","",""
4280,2014,"Region 4","FL","Tampa Bay Estuary Program","Do Good. Have fun. Bud Light Summer Project","Created a sea dune habitat with Sea Oats, Railroad Vine, Gaillardia, and dune sunflower on the shoreline of Tampa Bay.","Project took place along the shoreline of the Courtney Campbell Causeway bridge where habitat mostly included non-native grasses and invasive plants.","","Sand Dune Restoration","","","10000","","","Keep Tampa Bay Beautiful","","Bud Light Corporate, Pepin Distributing, Keep America","","19-SEP-14 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Coastal Uplands","",0,NA,0.236742424,27.96,-82.701,1250,"E-203","Uplands","Maintenance","","","","","",""
4281,2014,"Region 4","FL","Tampa Bay Estuary Program","Fort Desoto North Beach Habitat Restoration","Project consisted of removal of invasive Australian Pines, moving of beach sand, planting dunes and creating a pedestrian bridge.","","","Planting","","","","","","Pinellas County","","","","19-SEP-14 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Coastal Uplands","",0,NA,0.359848485,27.636,-82.736,1900,"E-204","Uplands","Maintenance","","","","","",""
4147,2014,"Region 4","FL","Tampa Bay Estuary Program","Give A Day for the Bay - Florida State Fairgrounds","Volunteers worked to create and revitalize the Florida Learning Garden by planting native trees, shrubs and flowers, and removing non-native trees and vegetation.","The Florida Learning Garden is a permanent, one-acre interactive experience at the Florida State Fairgrounds in Tampa. The Florida Learning Garden is designed to educate bay area residents and visitors on multiple growing techniques and sustainable practi","","Planting","","","300","","","Tampa Bay Estuary Program","Keep Tampa Bay Beautiful","","","22-SEP-14 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Uplands (Non-coastal)","",0,1,NA,27.988,-82.361,NA,"E-205","Uplands","Maintenance","","","","","",""
4145,2014,"Region 4","FL","Tampa Bay Estuary Program","Give A Day for the Bay - Fort De Soto Park","Volunteers removed invasive trees and plants from a forested section of the Park. More than 300 Australian pines and Brazilian pepper trees were removed.","","","Invasives Control/Removal - Vegetation","","","","","","Tampa Bay Estuary Program","","","","22-SEP-14 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Uplands (Non-coastal)","",0,5,NA,27.618,-82.723,NA,"E-206","Uplands","Maintenance","","","","","",""
4148,2014,"Region 4","FL","Tampa Bay Estuary Program","Give A Day for the Bay - Lowry Park Zoo","Volunteers removed invasive, non-native plants from areas surrounding the Elephant Bull Yard.","The Ha-Ha in the Elephant Bull Yard, behind the main exhibit in an area not accessible by the general public.","","Invasives Control/Removal - Vegetation","","","360","","","Tampa Bay Estuary Program","Lowry Park Zoo","","","22-SEP-14 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Uplands (Non-coastal)","",0,1,NA,28.01,-82.468,NA,"E-207","Uplands","Maintenance","","","","","",""
4214,2014,"Region 4","FL","Tampa Bay Estuary Program","Give A Day for the Bay - Perico (grass plugs)","Volunteers worked to plant grass plugs in several areas around the Preserve.","The 176-acre property was originally farmland and the extensive mangrove fringe is currently undergoing restoration to become another natural habitat within Manatee County�s coastal preserve system. Plans include the construction of a lagoon to support seagrass growth and a bird rookery island.","Forested Wetland","Planting","","","600","Improve or protect water quality:Protect/improve/provide habitat for birds:Protect/improve/provide habitat for fish/shellfish:Protect/improve/provide habitat for other wildlife","Restoration","Tampa Bay Estuary Program","","Tampa Bay Estuary Program","Manatee County Department of Natural Resources","22-SEP-14 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Forested Freshwater Wetlands","",0,8,NA,27.496,-82.686,NA,"","Freshwater","Restoration","","","","","",""
4146,2014,"Region 4","FL","Tampa Bay Estuary Program","Give A Day for the Bay - Perico Preserve","Volunteers worked with site project managers to spread 362 pounds of various native Florida seeds on the property.","The 176-acre property was originally farmland and the extensive mangrove fringe is currently undergoing restoration to become another natural habitat within Manatee County�s coastal preserve system. Plans include the construction of a lagoon to support seagrass growth and a bird rookery island.","Forested Wetland","Planting","","","550","Improve or protect water quality:Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife","Restoration","Tampa Bay Estuary Program","","Tampa Bay Estuary Program","Manatee County","22-SEP-14 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Forested Freshwater Wetlands","",0,10,NA,27.496,-82.686,NA,"","Freshwater","Restoration","","","","","",""
4350,2014,"Region 4","FL","Tampa Bay Estuary Program","Give A Day for the Bay - Sawgrass Lake Park","Volunteers spent the morning clearing out invasive air potatos, trash and debris from within the park. More than 400 pounds of air potatos were removed as well as 6 large bags of trash.","","","Invasives Control/Removal - Vegetation","","","","","","Tampa Bay Estuary Program","","","","22-SEP-14 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Forested Freshwater Wetlands","",0,8,NA,27.842,-82.671,NA,"E-208","Freshwater","Maintenance","","","","","",""
4352,2014,"Region 4","FL","Tampa Bay Estuary Program","Gopher Tortoise Habitat Management","Habitats were undergoing succession. Hardwoods and vines were altering the composition of the habitats. As a result, quality gopher tortoise habitat was disappearing. By reducing the vines and hardwoods we created openings to increase burrowing and foragi","","","Invasives Control/Removal - Vegetation","","","","","","City of St. Petersburg","","","","22-SEP-14 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Uplands (Non-coastal)","",0,96,NA,27.724,-82.65,NA,"E-209","Uplands","Maintenance","","","","","",""
5605,2014,"Region 4","FL","Tampa Bay Estuary Program","Invasive Species Control","Chemical treatment of Brazilian pepper and other non-native, invasive species across two quadrants of the base (1,011 acres). Invasive trees and grasses were treated through a mixture of foliar application and girdling to kill the plants in place. Contrac","","","Invasives Control/Removal - Vegetation","","","","","","MacDill Air Force Base","","","","19-SEP-14 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Forested Freshwater Wetlands","",0,850,NA,27.843,-82.535,NA,"E-210","Freshwater","Maintenance","","","","","",""
4284,2014,"Region 4","FL","Tampa Bay Estuary Program","Mac Dill Air Force Base Phase III","Removal of invasive plants and trees to promote establishment of freshwater and upland habitats.","","","Invasives Control/Removal - Vegetation","","","","","","SWFWMD-SWIM","","","","19-SEP-14 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Forested Freshwater Wetlands","",0,109,NA,27.82892,-82.4841,NA,"R-117","Freshwater","Restoration","","","","","",""
4282,2014,"Region 4","FL","Tampa Bay Estuary Program","Mac Dill Air Force Base Shoreline Stabilization and Enhancement Phase IV","The goal of Tampa Bay Watch�s Community Oyster Reef Enhancement Program is to increase the oyster population in Tampa Bay and at the same time, provide habitats for small organisms, prevent erosion, improve water quality and improve fish and wildlife habitats.","Artificial reefs i.e.;oyster domes placed along the shoreline of the beach.","Beach","Shoreline Stabilization/Enhancement","","","150000","Erosion control:Improve or protect water quality:Protect/improve/provide habitat for fish/shellfish:Protect/improve/provide habitat for other wildlife","Restoration","Tampa Bay Watch","","Department of Defense","Department of Defense","19-SEP-14 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Coastal Uplands","Living Shorelines",0,NA,0.076704546,27.492,-82.282,405,"","Uplands","Restoration","","","","","",""
4218,2014,"Region 4","FL","Tampa Bay Estuary Program","Mac Dill Shoreline Restoration","Saltmarsh (Spartina alterniflora) is utilized for shoreline stabilization and habitat enhancement at the project location.","","","Shoreline Stabilization/Enhancement","","","","","","Tampa Bay Watch","","","","19-SEP-14 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Forested Freshwater Wetlands","Living Shorelines",0,3,NA,27.825,-82.472,NA,"E-211","Freshwater","Maintenance","","","","","",""
4217,2014,"Region 4","FL","Tampa Bay Estuary Program","MacDill Shoreline Stabilization and Enhancement Project Phase 5","Artificial reefs (oyster domes) were placed along the shoreline of the beach in an effort to enhance the shoreline and provide erosion control.","","","","","","0","Shoreline Stabilization/Enhancement","","MacDill Air Force Base","","","","19-SEP-14 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Living Shorelines","",0,NA,0.040340909,27.82442,-82.47177,213,"LS-067","Mix (estuarine and freshwater)","Restoration","","","","","",""
4144,2014,"Region 4","FL","Tampa Bay Estuary Program","NE 4th Avenue Wetlands Restoration","The project is located on approximately 2.1 acres within the City of Mulberry in Polk County. The project site is bisected by the Ellis Branch, a tributary to the North Prong of the Alafia River, which drains to Tampa Bay. Approximately, 620 linear feet o","","","Invasives Control/Removal - Vegetation","","","","","","City of Mulberry","","","","19-SEP-14 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Forested Freshwater Wetlands","",0,NA,0.060606061,27.896,-81.969,320,"E-212","Freshwater","Maintenance","","","","","",""
4283,2014,"Region 4","FL","Tampa Bay Estuary Program","Serena Park","Created new Florida-native gardens with Malaleuca mulch and planted more than 180 trees, shrubs and plants including African Iris, Coontie Palm, Muhly Grass, Indian Hawthorne, Firebushes, Walter’s Viburnum, Crape Myrtle and Cassia Trees.","Serena Park is located in Temple Terrace and is a one acre park containing native plants and trees with a walking path.","","Planting","","","2000","","","Keep Tampa Bay Beautiful","City of Temple Terrace","","","24-SEP-14 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Uplands (Non-coastal)","",0,1,NA,28.043,-82.397,NA,"E-213","Uplands","Maintenance","","","","","",""
4340,2014,"Region 4","FL","Tampa Bay Estuary Program","Terra Ceia Upland Restoration Phase 7","Removal of non-native vegetation, followed by replanting of native uplands to restore and enhance pine flatwoods and selective removal of agricultural berms.","","","Invasives Control/Removal - Vegetation","","","","","","SWFWMD","","","","19-SEP-14 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Uplands (Non-coastal)","",0,67,NA,27.589,-82.571,NA,"E-214","Uplands","Maintenance","","","","","",""
4405,2014,"Region 4","FL","Tampa Bay Estuary Program","Ulele Springs Restoration Project","This natural spring basin was expanded to created native freshwater wetlands and the pipe was removed as well as a section of the seawall to allow a spring run to be restored to the river for fisheries habitat enhancement; in addition, ~500 linear feet of","Ulele Spring is currently concrete-lined and is piped to the Hillsborough River in Hillsborough County.","","Bulkhead Removal","","","670000","","","Ecosphere Restoration Institute","ERI, NOAA, USFWS, FWC, EPC, TBERF, & City of Tampa","","","22-SEP-14 12.00.00.000000000 AM -05:00","","","APPROVED","APPROVED","","ron@tbep.org","Forested Freshwater Wetlands","",0,1,NA,27.959,-82.462,NA,"R-119","Freshwater","Restoration","","","","","",""
